# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dPhi_HH_boost_C2
Path=/res/oxford_combined_rw2/histo_dPhi_HH_boost_C2
Title=dPhi_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.200000e+00	-2.986667e+00	1.053098e+01	4.994356e+00	4.994356e+00
-2.986667e+00	-2.773333e+00	5.854294e+00	1.621682e+00	1.621682e+00
-2.773333e+00	-2.560000e+00	4.820881e+01	4.758162e+01	4.758162e+01
-2.560000e+00	-2.346667e+00	5.331693e+00	4.781712e+00	4.781712e+00
-2.346667e+00	-2.133333e+00	4.765626e+00	4.757897e+00	4.757897e+00
-2.133333e+00	-1.920000e+00	9.069778e-03	7.475763e-03	7.475763e-03
-1.920000e+00	-1.706667e+00	4.919989e-01	4.758889e-01	4.758889e-01
-1.706667e+00	-1.493333e+00	4.772765e-01	4.757904e-01	4.757904e-01
-1.493333e+00	-1.280000e+00	2.230274e-04	1.287649e-04	1.287649e-04
-1.280000e+00	-1.066667e+00	5.576427e-01	4.816224e-01	4.816224e-01
-1.066667e+00	-8.533333e-01	8.177644e-04	7.471302e-04	7.471302e-04
-8.533333e-01	-6.400000e-01	5.947388e-01	5.947389e-01	5.947389e-01
-6.400000e-01	-4.266667e-01	7.434236e-05	7.434237e-05	7.434237e-05
-4.266667e-01	-2.133333e-01	7.434232e-05	7.434234e-05	7.434234e-05
-2.133333e-01	3.885781e-16	1.486847e-04	1.051360e-04	1.051360e-04
3.885781e-16	2.133333e-01	7.434236e-04	7.434237e-04	7.434237e-04
2.133333e-01	4.266667e-01	7.434232e-05	7.434234e-05	7.434234e-05
4.266667e-01	6.400000e-01	6.021732e-03	5.947855e-03	5.947855e-03
6.400000e-01	8.533333e-01	7.434236e-05	7.434237e-05	7.434237e-05
8.533333e-01	1.066667e+00	7.434222e-05	7.434223e-05	7.434223e-05
1.066667e+00	1.280000e+00	7.434246e-05	7.434248e-05	7.434248e-05
1.280000e+00	1.493333e+00	4.937084e-01	4.759034e-01	4.759034e-01
1.493333e+00	1.706667e+00	4.850080e-01	4.758490e-01	4.758490e-01
1.706667e+00	1.920000e+00	1.628100e-02	1.054222e-02	1.054222e-02
1.920000e+00	2.133333e+00	4.925933e-01	4.758896e-01	4.758896e-01
2.133333e+00	2.346667e+00	9.574526e-01	6.728704e-01	6.728704e-01
2.346667e+00	2.560000e+00	1.231854e-01	6.233105e-02	6.233105e-02
2.560000e+00	2.773333e+00	5.452644e+00	4.782117e+00	4.782117e+00
2.773333e+00	2.986667e+00	4.312639e+01	3.809039e+01	3.809039e+01
2.986667e+00	3.200000e+00	6.378732e+00	1.630243e+00	1.630243e+00
# END HISTO1D

