# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_largeR_inter_C1d
Path=/res/oxford_combined_rw2/histo_m_largeR_inter_C1d
Title=m_largeR_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	5.286567e+02	3.738168e+02	3.738168e+02
3.000000e+01	3.600000e+01	3.171940e+03	9.156604e+02	9.156604e+02
3.600000e+01	4.200000e+01	1.805213e+04	2.190506e+03	2.190506e+03
4.200000e+01	4.800000e+01	6.779198e+04	4.550140e+03	4.550140e+03
4.800000e+01	5.400000e+01	1.869815e+05	7.054774e+03	7.054774e+03
5.400000e+01	6.000000e+01	4.110578e+05	1.052073e+04	1.052073e+04
6.000000e+01	6.600000e+01	7.561533e+05	1.449109e+04	1.449109e+04
6.600000e+01	7.200000e+01	1.196358e+06	1.858945e+04	1.858945e+04
7.200000e+01	7.800000e+01	1.568493e+06	2.124395e+04	2.124395e+04
7.800000e+01	8.400000e+01	1.781995e+06	2.189168e+04	2.189168e+04
8.400000e+01	9.000000e+01	1.905825e+06	2.283126e+04	2.283126e+04
9.000000e+01	9.600000e+01	1.818813e+06	2.207442e+04	2.207442e+04
9.600000e+01	1.020000e+02	1.635575e+06	2.103580e+04	2.103580e+04
1.020000e+02	1.080000e+02	1.381629e+06	1.927807e+04	1.927807e+04
1.080000e+02	1.140000e+02	1.175179e+06	1.844271e+04	1.844271e+04
1.140000e+02	1.200000e+02	9.036027e+05	1.569416e+04	1.569416e+04
1.200000e+02	1.260000e+02	7.393913e+05	1.401792e+04	1.401792e+04
1.260000e+02	1.320000e+02	5.779887e+05	1.236725e+04	1.236725e+04
1.320000e+02	1.380000e+02	4.433282e+05	1.092811e+04	1.092811e+04
1.380000e+02	1.440000e+02	3.309808e+05	9.551121e+03	9.551121e+03
1.440000e+02	1.500000e+02	2.361295e+05	7.910080e+03	7.910080e+03
1.500000e+02	1.560000e+02	1.736228e+05	7.086907e+03	7.086907e+03
1.560000e+02	1.620000e+02	1.210624e+05	5.656874e+03	5.656874e+03
1.620000e+02	1.680000e+02	1.024265e+05	5.208288e+03	5.208288e+03
1.680000e+02	1.740000e+02	7.639090e+04	4.493583e+03	4.493583e+03
1.740000e+02	1.800000e+02	5.642458e+04	4.403981e+03	4.403981e+03
# END HISTO1D

