# BEGIN HISTO1D /res/oxford_combined_rw2/histo_tau21_fj1_boost_C2
Path=/res/oxford_combined_rw2/histo_tau21_fj1_boost_C2
Title=tau21_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.333333e-02	6.666667e-02	9.759604e-04	6.810640e-04	6.810640e-04
6.666667e-02	1.000000e-01	1.220812e-02	2.408623e-03	2.408623e-03
1.000000e-01	1.333333e-01	5.122484e-02	4.935455e-03	4.935455e-03
1.333333e-01	1.666667e-01	1.915588e-01	9.527610e-03	9.527610e-03
1.666667e-01	2.000000e-01	3.452415e-01	1.279971e-02	1.279971e-02
2.000000e-01	2.333333e-01	5.291771e-01	1.585940e-02	1.585940e-02
2.333333e-01	2.666667e-01	6.147618e-01	1.707993e-02	1.707993e-02
2.666667e-01	3.000000e-01	6.087093e-01	1.699780e-02	1.699780e-02
3.000000e-01	3.333333e-01	5.417216e-01	1.601509e-02	1.601509e-02
3.333333e-01	3.666667e-01	4.291707e-01	1.425112e-02	1.425112e-02
3.666667e-01	4.000000e-01	3.682963e-01	1.318635e-02	1.318635e-02
4.000000e-01	4.333333e-01	2.705219e-01	1.128970e-02	1.128970e-02
4.333333e-01	4.666667e-01	2.088718e-01	9.910597e-03	9.910597e-03
4.666667e-01	5.000000e-01	1.492448e-01	8.347828e-03	8.347828e-03
5.000000e-01	5.333333e-01	1.118530e-01	7.199227e-03	7.199227e-03
5.333333e-01	5.666667e-01	7.571115e-02	5.904990e-03	5.904990e-03
5.666667e-01	6.000000e-01	5.165699e-02	4.847737e-03	4.847737e-03
6.000000e-01	6.333333e-01	3.180678e-02	3.768548e-03	3.768548e-03
6.333333e-01	6.666667e-01	2.189043e-02	3.126518e-03	3.126518e-03
6.666667e-01	7.000000e-01	1.904369e-02	2.898360e-03	2.898360e-03
7.000000e-01	7.333333e-01	1.061221e-02	2.157907e-03	2.157907e-03
7.333333e-01	7.666667e-01	6.935497e-03	1.741134e-03	1.741134e-03
7.666667e-01	8.000000e-01	6.037305e-03	1.668576e-03	1.668576e-03
8.000000e-01	8.333333e-01	5.128913e-03	1.526602e-03	1.526602e-03
8.333333e-01	8.666667e-01	2.105127e-03	9.653391e-04	9.653391e-04
8.666667e-01	9.000000e-01	1.988728e-03	9.632836e-04	9.632836e-04
9.000000e-01	9.333333e-01	1.001398e-03	6.811715e-04	6.811715e-04
9.333333e-01	9.666667e-01	5.178143e-04	4.817718e-04	4.817718e-04
9.666667e-01	1.000000e+00	3.032340e-05	1.346030e-05	1.346030e-05
# END HISTO1D

