# BEGIN HISTO1D /res/oxford_combined_rw2/histo_phi_H1_boost_C2
Path=/res/oxford_combined_rw2/histo_phi_H1_boost_C2
Title=phi_H1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	-3.885781e-16	0.000000e+00	0.000000e+00	0.000000e+00
-3.885781e-16	2.100000e-01	3.656761e+00	2.010614e+00	2.010614e+00
2.100000e-01	4.200000e-01	7.253271e+00	2.846617e+00	2.846617e+00
4.200000e-01	6.300000e-01	7.066895e+00	2.842808e+00	2.842808e+00
6.300000e-01	8.400000e-01	5.921276e+00	2.595205e+00	2.595205e+00
8.400000e-01	1.050000e+00	4.702062e+00	2.321113e+00	2.321113e+00
1.050000e+00	1.260000e+00	5.906229e+00	2.595165e+00	2.595165e+00
1.260000e+00	1.470000e+00	8.196152e+00	3.070475e+00	3.070475e+00
1.470000e+00	1.680000e+00	8.212833e+00	3.070510e+00	3.070510e+00
1.680000e+00	1.890000e+00	4.688286e+00	2.321068e+00	2.321068e+00
1.890000e+00	2.100000e+00	8.241305e+00	3.070578e+00	3.070578e+00
2.100000e+00	2.310000e+00	3.554108e+00	2.010247e+00	2.010247e+00
2.310000e+00	2.520000e+00	9.400500e+00	3.282549e+00	3.282549e+00
2.520000e+00	2.730000e+00	9.705310e+00	3.288985e+00	3.288985e+00
2.730000e+00	2.940000e+00	7.050581e+00	2.842771e+00	2.842771e+00
2.940000e+00	3.150000e+00	1.163585e+01	3.669772e+00	3.669772e+00
# END HISTO1D

