# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H0_inter_C1e
Path=/res/oxford_combined_rw2/histo_eta_H0_inter_C1e
Title=eta_H0_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	1.136049e+03	5.680245e+02	5.680245e+02
-2.400000e+00	-2.000000e+00	1.122994e+04	1.978607e+03	1.978607e+03
-2.000000e+00	-1.600000e+00	3.436548e+04	3.124135e+03	3.124135e+03
-1.600000e+00	-1.200000e+00	3.990055e+04	3.374062e+03	3.374062e+03
-1.200000e+00	-8.000000e-01	5.352870e+04	3.906283e+03	3.906283e+03
-8.000000e-01	-4.000000e-01	5.509837e+04	3.955834e+03	3.955834e+03
-4.000000e-01	7.771561e-16	6.220277e+04	4.203276e+03	4.203276e+03
7.771561e-16	4.000000e-01	5.542340e+04	3.969163e+03	3.969163e+03
4.000000e-01	8.000000e-01	5.453035e+04	3.935389e+03	3.935389e+03
8.000000e-01	1.200000e+00	5.793850e+04	4.056506e+03	4.056506e+03
1.200000e+00	1.600000e+00	4.714602e+04	3.659242e+03	3.659242e+03
1.600000e+00	2.000000e+00	3.379745e+04	3.098208e+03	3.098208e+03
2.000000e+00	2.400000e+00	1.278055e+04	1.905212e+03	1.905212e+03
2.400000e+00	2.800000e+00	1.420061e+03	6.350706e+02	6.350706e+02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

