# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_HH_res_C1e
Path=/res/oxford_combined_rw2/histo_m_HH_res_C1e
Title=m_HH_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.000000e+02	4.544196e+02	5.080566e+01	5.080566e+01
2.000000e+02	2.200000e+02	2.376458e+03	1.166358e+02	1.166358e+02
2.200000e+02	2.400000e+02	4.896371e+03	1.667711e+02	1.667711e+02
2.400000e+02	2.600000e+02	8.383980e+03	2.187658e+02	2.187658e+02
2.600000e+02	2.800000e+02	1.156686e+04	2.574456e+02	2.574456e+02
2.800000e+02	3.000000e+02	1.458302e+04	2.879275e+02	2.879275e+02
3.000000e+02	3.200000e+02	1.694253e+04	3.116852e+02	3.116852e+02
3.200000e+02	3.400000e+02	1.598884e+04	3.017741e+02	3.017741e+02
3.400000e+02	3.600000e+02	1.282598e+04	2.699887e+02	2.699887e+02
3.600000e+02	3.800000e+02	1.005630e+04	2.413931e+02	2.413931e+02
3.800000e+02	4.000000e+02	7.958740e+03	2.128782e+02	2.128782e+02
4.000000e+02	4.200000e+02	6.778850e+03	1.962695e+02	1.962695e+02
4.200000e+02	4.400000e+02	5.942140e+03	1.856229e+02	1.856229e+02
4.400000e+02	4.600000e+02	4.651154e+03	1.628311e+02	1.628311e+02
4.600000e+02	4.800000e+02	4.430856e+03	1.588092e+02	1.588092e+02
4.800000e+02	5.000000e+02	3.808661e+03	1.556119e+02	1.556119e+02
5.000000e+02	5.200000e+02	2.874910e+03	1.278073e+02	1.278073e+02
5.200000e+02	5.400000e+02	2.614483e+03	1.224282e+02	1.224282e+02
5.400000e+02	5.600000e+02	2.576745e+03	1.210997e+02	1.210997e+02
5.600000e+02	5.800000e+02	2.163323e+03	1.117927e+02	1.117927e+02
5.800000e+02	6.000000e+02	1.802340e+03	1.012438e+02	1.012438e+02
# END HISTO1D

