# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H0_res_C1e
Path=/res/oxford_combined_rw2/histo_eta_H0_res_C1e
Title=eta_H0_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	2.974827e+00	2.103520e+00	2.103520e+00
-4.800000e+00	-4.400000e+00	5.949655e+00	2.974827e+00	2.974827e+00
-4.400000e+00	-4.000000e+00	3.718532e+01	7.437066e+00	7.437066e+00
-4.000000e+00	-3.600000e+00	1.041189e+02	1.244459e+01	1.244459e+01
-3.600000e+00	-3.200000e+00	2.860265e+02	2.078552e+01	2.078552e+01
-3.200000e+00	-2.800000e+00	7.464877e+02	3.349935e+01	3.349935e+01
-2.800000e+00	-2.400000e+00	1.450228e+03	4.644446e+01	4.644446e+01
-2.400000e+00	-2.000000e+00	2.453895e+03	6.043997e+01	6.043997e+01
-2.000000e+00	-1.600000e+00	3.098283e+03	6.788539e+01	6.788539e+01
-1.600000e+00	-1.200000e+00	3.302057e+03	7.008227e+01	7.008227e+01
-1.200000e+00	-8.000000e-01	3.122080e+03	6.814561e+01	6.814561e+01
-8.000000e-01	-4.000000e-01	2.873682e+03	6.537854e+01	6.537854e+01
-4.000000e-01	7.771561e-16	2.568762e+03	6.181272e+01	6.181272e+01
7.771561e-16	4.000000e-01	2.699655e+03	6.336800e+01	6.336800e+01
4.000000e-01	8.000000e-01	2.820135e+03	6.476656e+01	6.476656e+01
8.000000e-01	1.200000e+00	3.151913e+03	6.847138e+01	6.847138e+01
1.200000e+00	1.600000e+00	3.306520e+03	7.012960e+01	7.012960e+01
1.600000e+00	2.000000e+00	3.148855e+03	6.843718e+01	6.843718e+01
2.000000e+00	2.400000e+00	2.426421e+03	6.008296e+01	6.008296e+01
2.400000e+00	2.800000e+00	1.404118e+03	4.570015e+01	4.570015e+01
2.800000e+00	3.200000e+00	7.169332e+02	3.265542e+01	3.265542e+01
3.200000e+00	3.600000e+00	2.945078e+02	2.092976e+01	2.092976e+01
3.600000e+00	4.000000e+00	8.775738e+01	1.142504e+01	1.142504e+01
4.000000e+00	4.400000e+00	2.528602e+01	6.132762e+00	6.132762e+00
4.400000e+00	4.800000e+00	4.462240e+00	2.576275e+00	2.576275e+00
4.800000e+00	5.200000e+00	1.487413e+00	1.487413e+00	1.487413e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

