# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_leadSJ_fj1_boost_C2
Path=/res/oxford_combined_rw2/histo_eta_leadSJ_fj1_boost_C2
Title=eta_leadSJ_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	1.704918e-03	7.959534e-04	7.959534e-04
-2.000000e+00	-1.600000e+00	6.375600e-02	4.055361e-02	4.055361e-02
-1.600000e+00	-1.200000e+00	3.608480e-01	2.579508e-01	2.579508e-01
-1.200000e+00	-8.000000e-01	1.275913e-01	4.697004e-02	4.697004e-02
-8.000000e-01	-4.000000e-01	6.694382e-01	3.640628e-01	3.640628e-01
-4.000000e-01	7.771561e-16	1.443035e+00	6.002666e-01	6.002666e-01
7.771561e-16	4.000000e-01	2.100764e+01	2.030370e+01	2.030370e+01
4.000000e-01	8.000000e-01	1.162477e+00	5.106350e-01	5.106350e-01
8.000000e-01	1.200000e+00	3.476208e+00	2.576145e+00	2.576145e+00
1.200000e+00	1.600000e+00	5.458117e-01	3.590192e-01	3.590192e-01
1.600000e+00	2.000000e+00	2.774260e-01	2.538805e-01	2.538805e-01
2.000000e+00	2.400000e+00	2.538068e+00	2.537553e+00	2.537553e+00
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

