# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_smallR_inter_C1e
Path=/res/oxford_combined_rw2/histo_m_smallR_inter_C1e
Title=m_smallR_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	7.585863e+05	1.409673e+04	1.409673e+04
6.000000e+00	1.200000e+01	9.064098e+05	1.528840e+04	1.528840e+04
1.200000e+01	1.800000e+01	4.354258e+05	1.062888e+04	1.062888e+04
1.800000e+01	2.400000e+01	2.033153e+05	7.135097e+03	7.135097e+03
2.400000e+01	3.000000e+01	8.512763e+04	4.626357e+03	4.626357e+03
3.000000e+01	3.600000e+01	4.170180e+04	3.243991e+03	3.243991e+03
3.600000e+01	4.200000e+01	1.928043e+04	2.185292e+03	2.185292e+03
4.200000e+01	4.800000e+01	2.414248e+04	3.154915e+03	3.154915e+03
4.800000e+01	5.400000e+01	1.162247e+04	1.733189e+03	1.733189e+03
5.400000e+01	6.000000e+01	6.253593e+03	1.243131e+03	1.243131e+03
6.000000e+01	6.600000e+01	5.478010e+03	1.183628e+03	1.183628e+03
6.600000e+01	7.200000e+01	1.398671e+03	5.922682e+02	5.922682e+02
7.200000e+01	7.800000e+01	6.242083e+02	3.762068e+02	3.762068e+02
7.800000e+01	8.400000e+01	3.406512e+02	2.670272e+02	2.670272e+02
8.400000e+01	9.000000e+01	1.076482e+03	5.289959e+02	5.289959e+02
9.000000e+01	9.600000e+01	3.212480e+02	2.663550e+02	2.663550e+02
9.600000e+01	1.020000e+02	1.899277e+01	1.893418e+01	1.893418e+01
1.020000e+02	1.080000e+02	2.643673e+02	2.643284e+02	2.643284e+02
1.080000e+02	1.140000e+02	1.899277e+01	1.893418e+01	1.893418e+01
1.140000e+02	1.200000e+02	2.643283e+02	2.643284e+02	2.643284e+02
1.200000e+02	1.260000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+02	1.320000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+02	1.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.560000e+02	1.954048e-02	1.954049e-02	1.954049e-02
1.560000e+02	1.620000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.620000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

