# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H1_res_C1d
Path=/res/oxford_combined_rw2/histo_pt_H1_res_C1d
Title=pt_H1_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	9.675743e+05	6.970362e+03	6.970362e+03
3.000000e+01	6.000000e+01	1.455125e+06	8.628582e+03	8.628582e+03
6.000000e+01	9.000000e+01	1.407384e+06	8.482942e+03	8.482942e+03
9.000000e+01	1.200000e+02	1.307559e+06	8.212229e+03	8.212229e+03
1.200000e+02	1.500000e+02	8.440670e+05	6.620732e+03	6.620732e+03
1.500000e+02	1.800000e+02	5.019617e+05	5.021573e+03	5.021573e+03
1.800000e+02	2.100000e+02	3.024334e+05	3.903531e+03	3.903531e+03
2.100000e+02	2.400000e+02	1.840643e+05	3.031898e+03	3.031898e+03
2.400000e+02	2.700000e+02	1.167580e+05	2.426922e+03	2.426922e+03
2.700000e+02	3.000000e+02	7.599623e+04	1.951569e+03	1.951569e+03
3.000000e+02	3.300000e+02	5.110453e+04	1.598418e+03	1.598418e+03
3.300000e+02	3.600000e+02	3.164150e+04	1.262450e+03	1.262450e+03
3.600000e+02	3.900000e+02	2.354883e+04	1.085738e+03	1.085738e+03
3.900000e+02	4.200000e+02	1.594490e+04	8.960202e+02	8.960202e+02
4.200000e+02	4.500000e+02	1.232846e+04	7.875285e+02	7.875285e+02
4.500000e+02	4.800000e+02	7.037873e+03	5.924591e+02	5.924591e+02
4.800000e+02	5.100000e+02	5.620170e+03	5.322778e+02	5.322778e+02
5.100000e+02	5.400000e+02	4.093227e+03	4.526518e+02	4.526518e+02
5.400000e+02	5.700000e+02	2.453635e+03	3.513454e+02	3.513454e+02
5.700000e+02	6.000000e+02	2.373473e+03	3.472185e+02	3.472185e+02
6.000000e+02	6.300000e+02	1.761372e+03	2.951221e+02	2.951221e+02
6.300000e+02	6.600000e+02	1.757088e+03	2.994608e+02	2.994608e+02
6.600000e+02	6.900000e+02	8.354843e+02	2.051327e+02	2.051327e+02
6.900000e+02	7.200000e+02	8.012420e+02	1.985832e+02	1.985832e+02
7.200000e+02	7.500000e+02	1.095605e+03	2.367256e+02	2.367256e+02
7.500000e+02	7.800000e+02	3.969833e+02	1.402278e+02	1.402278e+02
7.800000e+02	8.100000e+02	1.248964e+02	7.524136e+01	7.524136e+01
8.100000e+02	8.400000e+02	2.268451e+02	1.060023e+02	1.060023e+02
8.400000e+02	8.700000e+02	4.306553e+02	1.496226e+02	1.496226e+02
8.700000e+02	9.000000e+02	1.247674e+02	7.524135e+01	7.524135e+01
# END HISTO1D

