# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H0_res_C1e
Path=/res/oxford_combined_rw2/histo_eta_H0_res_C1e
Title=eta_H0_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	9.797100e-05	9.797101e-05	9.797101e-05
-4.800000e+00	-4.400000e+00	2.939130e-04	1.696907e-04	1.696907e-04
-4.400000e+00	-4.000000e+00	1.077681e-03	3.249331e-04	3.249331e-04
-4.000000e+00	-3.600000e+00	4.212753e-03	6.424388e-04	6.424388e-04
-3.600000e+00	-3.200000e+00	1.361797e-02	1.155061e-03	1.155061e-03
-3.200000e+00	-2.800000e+00	4.516462e-02	2.103527e-03	2.103527e-03
-2.800000e+00	-2.400000e+00	1.495037e-01	3.827144e-03	3.827144e-03
-2.400000e+00	-2.000000e+00	4.624233e-01	6.730828e-03	6.730828e-03
-2.000000e+00	-1.600000e+00	8.680230e-01	9.221771e-03	9.221771e-03
-1.600000e+00	-1.200000e+00	1.222384e+00	1.094341e-02	1.094341e-02
-1.200000e+00	-8.000000e-01	1.528446e+00	1.223697e-02	1.223697e-02
-8.000000e-01	-4.000000e-01	1.704402e+00	1.292215e-02	1.292215e-02
-4.000000e-01	7.771561e-16	1.787187e+00	1.323225e-02	1.323225e-02
7.771561e-16	4.000000e-01	1.781113e+00	1.320975e-02	1.320975e-02
4.000000e-01	8.000000e-01	1.737320e+00	1.304634e-02	1.304634e-02
8.000000e-01	1.200000e+00	1.547060e+00	1.231126e-02	1.231126e-02
1.200000e+00	1.600000e+00	1.244722e+00	1.104294e-02	1.104294e-02
1.600000e+00	2.000000e+00	8.707663e-01	9.236335e-03	9.236335e-03
2.000000e+00	2.400000e+00	4.592880e-01	6.707973e-03	6.707973e-03
2.400000e+00	2.800000e+00	1.515612e-01	3.853387e-03	3.853387e-03
2.800000e+00	3.200000e+00	4.594840e-02	2.121700e-03	2.121700e-03
3.200000e+00	3.600000e+00	1.479362e-02	1.203888e-03	1.203888e-03
3.600000e+00	4.000000e+00	3.428985e-03	5.796042e-04	5.796042e-04
4.000000e+00	4.400000e+00	5.878260e-04	2.399790e-04	2.399790e-04
4.400000e+00	4.800000e+00	1.959420e-04	1.385519e-04	1.385519e-04
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

