# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H1_inter_C1e
Path=/res/oxford_combined_rw2/histo_eta_H1_inter_C1e
Title=eta_H1_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	1.959420e-04	1.385519e-04	1.385519e-04
-4.400000e+00	-4.000000e+00	9.797100e-05	9.797101e-05	9.797101e-05
-4.000000e+00	-3.600000e+00	2.939130e-04	1.696908e-04	1.696908e-04
-3.600000e+00	-3.200000e+00	1.959420e-04	1.385519e-04	1.385519e-04
-3.200000e+00	-2.800000e+00	1.469565e-03	3.794400e-04	3.794400e-04
-2.800000e+00	-2.400000e+00	1.440174e-02	1.187835e-03	1.187835e-03
-2.400000e+00	-2.000000e+00	1.222678e-01	3.461026e-03	3.461026e-03
-2.000000e+00	-1.600000e+00	1.805606e-01	4.205913e-03	4.205913e-03
-1.600000e+00	-1.200000e+00	2.554105e-01	5.002281e-03	5.002281e-03
-1.200000e+00	-8.000000e-01	3.287908e-01	5.675558e-03	5.675558e-03
-8.000000e-01	-4.000000e-01	3.544590e-01	5.892937e-03	5.892937e-03
-4.000000e-01	7.771561e-16	3.917860e-01	6.195455e-03	6.195455e-03
7.771561e-16	4.000000e-01	3.981543e-01	6.245603e-03	6.245603e-03
4.000000e-01	8.000000e-01	3.727795e-01	6.043310e-03	6.043310e-03
8.000000e-01	1.200000e+00	3.362365e-01	5.739462e-03	5.739462e-03
1.200000e+00	1.600000e+00	2.528632e-01	4.977274e-03	4.977274e-03
1.600000e+00	2.000000e+00	1.708614e-01	4.091389e-03	4.091389e-03
2.000000e+00	2.400000e+00	1.166834e-01	3.381064e-03	3.381064e-03
2.400000e+00	2.800000e+00	1.459768e-02	1.195889e-03	1.195889e-03
2.800000e+00	3.200000e+00	1.469565e-03	3.794400e-04	3.794400e-04
3.200000e+00	3.600000e+00	4.898550e-04	2.190698e-04	2.190698e-04
3.600000e+00	4.000000e+00	1.959420e-04	1.385519e-04	1.385519e-04
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	9.797100e-05	9.797101e-05	9.797101e-05
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

