# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_largeR_boost_C2
Path=/res/oxford_combined_rw2/histo_m_largeR_boost_C2
Title=m_largeR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	2.675262e-06	2.675262e-06	2.675262e-06
6.000000e+00	1.200000e+01	2.414465e-05	8.025925e-06	8.025925e-06
1.200000e+01	1.800000e+01	9.474797e-05	1.583141e-05	1.583141e-05
1.800000e+01	2.400000e+01	2.392650e-04	2.524112e-05	2.524112e-05
2.400000e+01	3.000000e+01	3.106607e-04	2.869774e-05	2.869774e-05
3.000000e+01	3.600000e+01	3.438807e-04	3.015929e-05	3.015929e-05
3.600000e+01	4.200000e+01	3.842275e-04	3.189115e-05	3.189115e-05
4.200000e+01	4.800000e+01	3.238933e-04	2.931449e-05	2.931449e-05
4.800000e+01	5.400000e+01	3.170817e-04	2.894840e-05	2.894840e-05
5.400000e+01	6.000000e+01	2.650200e-04	2.648740e-05	2.648740e-05
6.000000e+01	6.600000e+01	2.599030e-04	2.621980e-05	2.621980e-05
6.600000e+01	7.200000e+01	1.947833e-04	2.270413e-05	2.270413e-05
7.200000e+01	7.800000e+01	1.764148e-04	2.157759e-05	2.157759e-05
7.800000e+01	8.400000e+01	1.732342e-04	2.140837e-05	2.140837e-05
8.400000e+01	9.000000e+01	6.582210e-04	4.065054e-05	4.065054e-05
9.000000e+01	9.600000e+01	8.697717e-04	4.680506e-05	4.680506e-05
9.600000e+01	1.020000e+02	1.301440e-03	5.770091e-05	5.770091e-05
1.020000e+02	1.080000e+02	2.049830e-03	7.293492e-05	7.293492e-05
1.080000e+02	1.140000e+02	5.764550e-03	1.232358e-04	1.232358e-04
1.140000e+02	1.200000e+02	1.660939e-02	2.096928e-04	2.096928e-04
1.200000e+02	1.260000e+02	2.943058e-02	2.792735e-04	2.792735e-04
1.260000e+02	1.320000e+02	2.827098e-02	2.737102e-04	2.737102e-04
1.320000e+02	1.380000e+02	1.648332e-02	2.090274e-04	2.090274e-04
1.380000e+02	1.440000e+02	8.080733e-03	1.461657e-04	1.461657e-04
1.440000e+02	1.500000e+02	4.290232e-03	1.064115e-04	1.064115e-04
1.500000e+02	1.560000e+02	2.778357e-03	8.552198e-05	8.552198e-05
1.560000e+02	1.620000e+02	2.000385e-03	7.238027e-05	7.238027e-05
1.620000e+02	1.680000e+02	7.777497e-04	4.518591e-05	4.518591e-05
1.680000e+02	1.740000e+02	8.026622e-06	4.633689e-06	4.633689e-06
1.740000e+02	1.800000e+02	2.712882e-06	2.675473e-06	2.675473e-06
# END HISTO1D

