# BEGIN HISTO1D /res/oxford_combined_rw2/histo_phi_H1_inter_C2
Path=/res/oxford_combined_rw2/histo_phi_H1_inter_C2
Title=phi_H1_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	-3.885781e-16	0.000000e+00	0.000000e+00	0.000000e+00
-3.885781e-16	2.100000e-01	3.287404e-02	1.572717e-03	1.572717e-03
2.100000e-01	4.200000e-01	3.621076e-02	1.650770e-03	1.650770e-03
4.200000e-01	6.300000e-01	3.829680e-02	1.697909e-03	1.697909e-03
6.300000e-01	8.400000e-01	3.473903e-02	1.615134e-03	1.615134e-03
8.400000e-01	1.050000e+00	3.294290e-02	1.572869e-03	1.572869e-03
1.050000e+00	1.260000e+00	3.491629e-02	1.620511e-03	1.620511e-03
1.260000e+00	1.470000e+00	3.519531e-02	1.626026e-03	1.626026e-03
1.470000e+00	1.680000e+00	3.738914e-02	1.678760e-03	1.678760e-03
1.680000e+00	1.890000e+00	3.630935e-02	1.652670e-03	1.652670e-03
1.890000e+00	2.100000e+00	3.618588e-02	1.650788e-03	1.650788e-03
2.100000e+00	2.310000e+00	3.511546e-02	1.625749e-03	1.625749e-03
2.310000e+00	2.520000e+00	3.392847e-02	1.598506e-03	1.598506e-03
2.520000e+00	2.730000e+00	3.354460e-02	1.587681e-03	1.587681e-03
2.730000e+00	2.940000e+00	3.656802e-02	1.659563e-03	1.659563e-03
2.940000e+00	3.150000e+00	3.835594e-02	1.701151e-03	1.701151e-03
# END HISTO1D

