# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_largeR_res_C2
Path=/res/oxford_combined_rw2/histo_pt_largeR_res_C2
Title=pt_largeR_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	1.516155e-05	2.783960e-06	2.783960e-06
2.100000e+02	2.400000e+02	3.271855e-05	4.112698e-06	4.112698e-06
2.400000e+02	2.700000e+02	2.149749e-05	3.343229e-06	3.343229e-06
2.700000e+02	3.000000e+02	1.594147e-05	2.882532e-06	2.882532e-06
3.000000e+02	3.300000e+02	1.105059e-05	2.394154e-06	2.394154e-06
3.300000e+02	3.600000e+02	9.367680e-06	2.207395e-06	2.207395e-06
3.600000e+02	3.900000e+02	7.723733e-06	2.003368e-06	2.003368e-06
3.900000e+02	4.200000e+02	4.485663e-06	1.515130e-06	1.515130e-06
4.200000e+02	4.500000e+02	7.091367e-06	1.929391e-06	1.929391e-06
4.500000e+02	4.800000e+02	3.427430e-06	1.312695e-06	1.312695e-06
4.800000e+02	5.100000e+02	1.124697e-06	7.569151e-07	7.569151e-07
5.100000e+02	5.400000e+02	1.692604e-06	9.292202e-07	9.292202e-07
5.400000e+02	5.700000e+02	6.354583e-07	5.394236e-07	5.394236e-07
5.700000e+02	6.000000e+02	1.085237e-06	7.567382e-07	7.567382e-07
6.000000e+02	6.300000e+02	1.337631e-08	9.458478e-09	9.458478e-09
6.300000e+02	6.600000e+02	6.688153e-09	6.688154e-09	6.688154e-09
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	8.360193e-11	8.360192e-11	8.360192e-11
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

