# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_subleadSJ_fj2_boost_C1e
Path=/res/oxford_combined_rw2/histo_eta_subleadSJ_fj2_boost_C1e
Title=eta_subleadSJ_fj2_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	9.797100e-05	9.797101e-05	9.797101e-05
-2.400000e+00	-2.000000e+00	1.371594e-03	3.665739e-04	3.665739e-04
-2.000000e+00	-1.600000e+00	4.310725e-03	6.498661e-04	6.498661e-04
-1.600000e+00	-1.200000e+00	7.445795e-03	8.540913e-04	8.540913e-04
-1.200000e+00	-8.000000e-01	1.087478e-02	1.032189e-03	1.032189e-03
-8.000000e-01	-4.000000e-01	1.420579e-02	1.179727e-03	1.179727e-03
-4.000000e-01	7.771561e-16	1.508753e-02	1.215788e-03	1.215788e-03
7.771561e-16	4.000000e-01	1.567536e-02	1.239246e-03	1.239246e-03
4.000000e-01	8.000000e-01	1.400985e-02	1.171563e-03	1.171563e-03
8.000000e-01	1.200000e+00	1.420580e-02	1.179727e-03	1.179727e-03
1.200000e+00	1.600000e+00	6.662027e-03	8.078896e-04	8.078896e-04
1.600000e+00	2.000000e+00	3.820870e-03	6.118287e-04	6.118287e-04
2.000000e+00	2.400000e+00	1.273623e-03	3.532395e-04	3.532395e-04
2.400000e+00	2.800000e+00	9.797100e-05	9.797101e-05	9.797101e-05
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

