# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_dR_HH_res_C1e
Path=/res/baseline_noPU_oxford/histo_dR_HH_res_C1e
Title=dR_HH_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-01	5.280465e+03	9.779466e+02	9.779466e+02
1.666667e-01	3.333333e-01	3.530602e+04	4.497701e+03	4.497701e+03
3.333333e-01	5.000000e-01	6.738041e+04	7.147157e+03	7.147157e+03
5.000000e-01	6.666667e-01	1.010415e+05	7.954575e+03	7.954575e+03
6.666667e-01	8.333333e-01	1.362152e+05	9.261870e+03	9.261870e+03
8.333333e-01	1.000000e+00	1.682541e+05	7.672476e+03	7.672476e+03
1.000000e+00	1.166667e+00	2.268700e+05	1.166366e+04	1.166366e+04
1.166667e+00	1.333333e+00	2.719415e+05	1.254534e+04	1.254534e+04
1.333333e+00	1.500000e+00	3.184390e+05	1.216758e+04	1.216758e+04
1.500000e+00	1.666667e+00	4.004235e+05	1.462471e+04	1.462471e+04
1.666667e+00	1.833333e+00	5.134554e+05	1.731619e+04	1.731619e+04
1.833333e+00	2.000000e+00	6.286217e+05	2.048910e+04	2.048910e+04
2.000000e+00	2.166667e+00	7.716285e+05	1.995177e+04	1.995177e+04
2.166667e+00	2.333333e+00	9.752583e+05	2.260558e+04	2.260558e+04
2.333333e+00	2.500000e+00	1.214746e+06	2.458727e+04	2.458727e+04
2.500000e+00	2.666667e+00	1.669776e+06	3.769045e+04	3.769045e+04
2.666667e+00	2.833333e+00	2.324242e+06	3.844570e+04	3.844570e+04
2.833333e+00	3.000000e+00	3.244760e+06	4.266362e+04	4.266362e+04
3.000000e+00	3.166667e+00	4.449644e+06	5.780304e+04	5.780304e+04
3.166667e+00	3.333333e+00	2.619991e+06	3.564123e+04	3.564123e+04
3.333333e+00	3.500000e+00	1.651037e+06	3.054744e+04	3.054744e+04
3.500000e+00	3.666667e+00	1.121059e+06	2.854309e+04	2.854309e+04
3.666667e+00	3.833333e+00	8.224893e+05	3.565432e+04	3.565432e+04
3.833333e+00	4.000000e+00	5.334818e+05	2.035285e+04	2.035285e+04
4.000000e+00	4.166667e+00	3.452160e+05	1.599848e+04	1.599848e+04
4.166667e+00	4.333333e+00	2.261576e+05	1.478761e+04	1.478761e+04
4.333333e+00	4.500000e+00	1.769687e+05	2.464194e+04	2.464194e+04
4.500000e+00	4.666667e+00	5.968336e+04	8.287643e+03	8.287643e+03
4.666667e+00	4.833333e+00	2.669169e+04	3.647803e+03	3.647803e+03
4.833333e+00	5.000000e+00	2.540889e+04	7.223221e+03	7.223221e+03
# END HISTO1D

