# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_eta_H1_res_C2
Path=/res/baseline_noPU_oxford/histo_eta_H1_res_C2
Title=eta_H1_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	7.539162e-01	3.199272e-01	3.199272e-01
-5.600000e+00	-5.200000e+00	1.390561e+01	1.196858e+01	1.196858e+01
-5.200000e+00	-4.800000e+00	7.790152e+00	5.748840e+00	5.748840e+00
-4.800000e+00	-4.400000e+00	3.391550e+01	1.698901e+01	1.698901e+01
-4.400000e+00	-4.000000e+00	7.450082e+01	2.948697e+01	2.948697e+01
-4.000000e+00	-3.600000e+00	8.080650e+01	2.399733e+01	2.399733e+01
-3.600000e+00	-3.200000e+00	1.788564e+02	4.393163e+01	4.393163e+01
-3.200000e+00	-2.800000e+00	4.384850e+02	9.671020e+01	9.671020e+01
-2.800000e+00	-2.400000e+00	6.915830e+02	1.593180e+02	1.593180e+02
-2.400000e+00	-2.000000e+00	9.644888e+02	2.050588e+02	2.050588e+02
-2.000000e+00	-1.600000e+00	8.084555e+02	2.252862e+02	2.252862e+02
-1.600000e+00	-1.200000e+00	7.413155e+02	2.131162e+02	2.131162e+02
-1.200000e+00	-8.000000e-01	6.349828e+02	2.029467e+02	2.029467e+02
-8.000000e-01	-4.000000e-01	5.928050e+02	1.021817e+02	1.021817e+02
-4.000000e-01	0.000000e+00	5.712405e+02	1.383999e+02	1.383999e+02
0.000000e+00	4.000000e-01	4.481875e+02	7.290874e+01	7.290874e+01
4.000000e-01	8.000000e-01	3.949412e+02	4.967726e+01	4.967726e+01
8.000000e-01	1.200000e+00	9.169310e+02	2.684565e+02	2.684565e+02
1.200000e+00	1.600000e+00	8.857737e+02	2.139168e+02	2.139168e+02
1.600000e+00	2.000000e+00	8.737635e+02	1.675337e+02	1.675337e+02
2.000000e+00	2.400000e+00	6.110930e+02	1.404167e+02	1.404167e+02
2.400000e+00	2.800000e+00	5.809965e+02	1.948283e+02	1.948283e+02
2.800000e+00	3.200000e+00	2.823405e+02	5.915507e+01	5.915507e+01
3.200000e+00	3.600000e+00	6.489378e+02	3.691970e+02	3.691970e+02
3.600000e+00	4.000000e+00	1.657946e+02	1.208988e+02	1.208988e+02
4.000000e+00	4.400000e+00	1.614714e+02	1.279461e+02	1.279461e+02
4.400000e+00	4.800000e+00	1.537815e+01	1.057701e+01	1.057701e+01
4.800000e+00	5.200000e+00	7.507325e+00	3.391780e+00	3.391780e+00
5.200000e+00	5.600000e+00	1.640485e+00	6.643268e-01	6.643268e-01
5.600000e+00	6.000000e+00	3.738997e-01	1.073967e-01	1.073967e-01
# END HISTO1D

