# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_eta_subleadSJ_fj2_boost_C2
Path=/res/baseline_noPU_oxford/histo_eta_subleadSJ_fj2_boost_C2
Title=eta_subleadSJ_fj2_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	7.491403e-03	4.518224e-03	4.518224e-03
-2.400000e+00	-2.000000e+00	4.815105e+00	2.072508e+00	2.072508e+00
-2.000000e+00	-1.600000e+00	1.672284e+01	9.538937e+00	9.538937e+00
-1.600000e+00	-1.200000e+00	2.226298e+01	7.060243e+00	7.060243e+00
-1.200000e+00	-8.000000e-01	1.214758e+02	5.637175e+01	5.637175e+01
-8.000000e-01	-4.000000e-01	5.663065e+01	1.410765e+01	1.410765e+01
-4.000000e-01	0.000000e+00	8.833758e+01	2.480984e+01	2.480984e+01
0.000000e+00	4.000000e-01	7.490415e+01	2.060592e+01	2.060592e+01
4.000000e-01	8.000000e-01	8.767547e+01	2.523876e+01	2.523876e+01
8.000000e-01	1.200000e+00	4.561290e+01	1.436046e+01	1.436046e+01
1.200000e+00	1.600000e+00	3.630202e+01	1.103245e+01	1.103245e+01
1.600000e+00	2.000000e+00	2.273679e+01	8.478926e+00	8.478926e+00
2.000000e+00	2.400000e+00	3.490525e+00	1.473091e+00	1.473091e+00
2.400000e+00	2.800000e+00	3.896210e-02	2.304054e-02	2.304054e-02
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

