# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_pt_smallR_boost_C1d
Path=/res/baseline_noPU_oxford/histo_pt_smallR_boost_C1d
Title=pt_smallR_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	5.017947e+04	3.070758e+02	3.070758e+02
6.000000e+01	9.000000e+01	4.333990e+04	2.616705e+02	2.616705e+02
9.000000e+01	1.200000e+02	2.889463e+04	2.249873e+02	2.249873e+02
1.200000e+02	1.500000e+02	2.404826e+04	2.027648e+02	2.027648e+02
1.500000e+02	1.800000e+02	2.531405e+04	2.234139e+02	2.234139e+02
1.800000e+02	2.100000e+02	3.269069e+04	2.904944e+02	2.904944e+02
2.100000e+02	2.400000e+02	3.067342e+04	2.577313e+02	2.577313e+02
2.400000e+02	2.700000e+02	2.051258e+04	1.977038e+02	1.977038e+02
2.700000e+02	3.000000e+02	1.333470e+04	1.764617e+02	1.764617e+02
3.000000e+02	3.300000e+02	8.640017e+03	1.198848e+02	1.198848e+02
3.300000e+02	3.600000e+02	5.989473e+03	1.293568e+02	1.293568e+02
3.600000e+02	3.900000e+02	3.819453e+03	9.686713e+01	9.686713e+01
3.900000e+02	4.200000e+02	2.638389e+03	1.064373e+02	1.064373e+02
4.200000e+02	4.500000e+02	1.832443e+03	5.480784e+01	5.480784e+01
4.500000e+02	4.800000e+02	1.336458e+03	5.624658e+01	5.624658e+01
4.800000e+02	5.100000e+02	9.086573e+02	6.366350e+01	6.366350e+01
5.100000e+02	5.400000e+02	6.253117e+02	3.234411e+01	3.234411e+01
5.400000e+02	5.700000e+02	4.965467e+02	4.349762e+01	4.349762e+01
5.700000e+02	6.000000e+02	3.763493e+02	3.908923e+01	3.908923e+01
6.000000e+02	6.300000e+02	2.510824e+02	3.290343e+01	3.290343e+01
6.300000e+02	6.600000e+02	2.046455e+02	1.446748e+01	1.446748e+01
6.600000e+02	6.900000e+02	1.721288e+02	1.979948e+01	1.979948e+01
6.900000e+02	7.200000e+02	1.134470e+02	8.648878e+00	8.648878e+00
7.200000e+02	7.500000e+02	8.920700e+01	1.260942e+01	1.260942e+01
7.500000e+02	7.800000e+02	9.119943e+01	3.270090e+01	3.270090e+01
7.800000e+02	8.100000e+02	4.321870e+01	4.667007e+00	4.667007e+00
8.100000e+02	8.400000e+02	3.490283e+01	3.330468e+00	3.330468e+00
8.400000e+02	8.700000e+02	2.754081e+01	3.545091e+00	3.545091e+00
8.700000e+02	9.000000e+02	2.493337e+01	6.054172e+00	6.054172e+00
# END HISTO1D

