# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_tau21_fj1_boost_C2
Path=/res/baseline_noPU_oxford/histo_tau21_fj1_boost_C2
Title=tau21_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	1.740498e+02	6.607987e+01	6.607987e+01
3.333333e-02	6.666667e-02	3.443921e+02	2.178316e+02	2.178316e+02
6.666667e-02	1.000000e-01	3.550290e+02	1.300495e+02	1.300495e+02
1.000000e-01	1.333333e-01	5.395844e+02	2.584667e+02	2.584667e+02
1.333333e-01	1.666667e-01	1.370932e+02	3.902713e+01	3.902713e+01
1.666667e-01	2.000000e-01	3.959254e+02	1.680879e+02	1.680879e+02
2.000000e-01	2.333333e-01	3.580237e+02	1.069400e+02	1.069400e+02
2.333333e-01	2.666667e-01	2.257240e+02	6.445340e+01	6.445340e+01
2.666667e-01	3.000000e-01	6.043674e+02	2.211440e+02	2.211440e+02
3.000000e-01	3.333333e-01	3.687844e+02	1.337719e+02	1.337719e+02
3.333333e-01	3.666667e-01	1.577426e+02	5.618950e+01	5.618950e+01
3.666667e-01	4.000000e-01	2.379569e+02	8.254738e+01	8.254738e+01
4.000000e-01	4.333333e-01	1.157655e+02	3.297639e+01	3.297639e+01
4.333333e-01	4.666667e-01	4.523790e+02	1.845464e+02	1.845464e+02
4.666667e-01	5.000000e-01	2.589083e+02	1.167187e+02	1.167187e+02
5.000000e-01	5.333333e-01	3.496287e+02	1.158301e+02	1.158301e+02
5.333333e-01	5.666667e-01	5.364547e+02	4.345239e+02	4.345239e+02
5.666667e-01	6.000000e-01	3.682339e+02	1.965430e+02	1.965430e+02
6.000000e-01	6.333333e-01	4.671482e+01	1.410057e+01	1.410057e+01
6.333333e-01	6.666667e-01	5.680636e+02	4.896587e+02	4.896587e+02
6.666667e-01	7.000000e-01	1.232813e+02	4.818285e+01	4.818285e+01
7.000000e-01	7.333333e-01	6.508714e+01	3.273270e+01	3.273270e+01
7.333333e-01	7.666667e-01	8.007011e+00	3.185814e+00	3.185814e+00
7.666667e-01	8.000000e-01	2.322923e+01	2.065865e+01	2.065865e+01
8.000000e-01	8.333333e-01	1.536449e+02	1.243155e+02	1.243155e+02
8.333333e-01	8.666667e-01	3.462335e+00	2.181464e+00	2.181464e+00
8.666667e-01	9.000000e-01	1.526169e-01	9.293414e-02	9.293414e-02
9.000000e-01	9.333333e-01	3.064401e-01	2.617432e-01	2.617432e-01
9.333333e-01	9.666667e-01	1.392058e-01	7.928102e-02	7.928102e-02
9.666667e-01	1.000000e+00	1.543050e-02	1.310392e-02	1.310392e-02
# END HISTO1D

