# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_m_H0_res_C2
Path=/res/baseline_noPU_oxford/histo_m_H0_res_C2
ScaledBy=1
Title=m_H0_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	1.042566e+01	6.332825e-01	6.332825e-01
9.000000e+01	9.600000e+01	1.678092e+01	8.065518e-01	8.065518e-01
9.600000e+01	1.020000e+02	1.973387e+01	8.742193e-01	8.742193e-01
1.020000e+02	1.080000e+02	2.229775e+01	9.320585e-01	9.320585e-01
1.080000e+02	1.140000e+02	2.554772e+01	9.992763e-01	9.992763e-01
1.140000e+02	1.200000e+02	2.546147e+01	9.972976e-01	9.972976e-01
1.200000e+02	1.260000e+02	2.674177e+01	1.024581e+00	1.024581e+00
1.260000e+02	1.320000e+02	2.641620e+01	1.019032e+00	1.019032e+00
1.320000e+02	1.380000e+02	2.716013e+01	1.034498e+00	1.034498e+00
1.380000e+02	1.440000e+02	2.481883e+01	9.892222e-01	9.892222e-01
1.440000e+02	1.500000e+02	2.154372e+01	9.187623e-01	9.187623e-01
1.500000e+02	1.560000e+02	1.968770e+01	8.792059e-01	8.792059e-01
1.560000e+02	1.620000e+02	1.606714e+01	7.935283e-01	7.935283e-01
1.620000e+02	1.680000e+02	8.220885e+00	5.690904e-01	5.690904e-01
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

