# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_tau21_fj2_boost_C2
Path=/res/baseline_noPU_oxford/histo_tau21_fj2_boost_C2
ScaledBy=1
Title=tau21_fj2_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.333333e-02	4.496340e+01	1.793184e+01	1.793184e+01
3.333333e-02	6.666667e-02	7.475549e+01	2.313871e+01	2.313871e+01
6.666667e-02	1.000000e-01	7.403812e+01	2.312102e+01	2.312102e+01
1.000000e-01	1.333333e-01	1.548218e+02	3.350470e+01	3.350470e+01
1.333333e-01	1.666667e-01	1.252316e+02	3.014509e+01	3.014509e+01
1.666667e-01	2.000000e-01	9.158787e+01	2.536243e+01	2.536243e+01
2.000000e-01	2.333333e-01	1.340736e+02	3.102135e+01	3.102135e+01
2.333333e-01	2.666667e-01	1.498888e+02	3.272353e+01	3.272353e+01
2.666667e-01	3.000000e-01	6.839275e+01	2.195529e+01	2.195529e+01
3.000000e-01	3.333333e-01	6.169986e+01	2.072184e+01	2.072184e+01
3.333333e-01	3.666667e-01	6.080289e+01	2.068347e+01	2.068347e+01
3.666667e-01	4.000000e-01	6.735913e+01	2.193607e+01	2.193607e+01
4.000000e-01	4.333333e-01	4.811744e+01	1.798175e+01	1.798175e+01
4.333333e-01	4.666667e-01	4.700241e+01	1.795786e+01	1.795786e+01
4.666667e-01	5.000000e-01	4.718987e+01	1.795839e+01	1.795839e+01
5.000000e-01	5.333333e-01	1.034628e+02	2.735688e+01	2.735688e+01
5.333333e-01	5.666667e-01	4.544439e+01	1.791200e+01	1.791200e+01
5.666667e-01	6.000000e-01	5.312789e+01	1.936690e+01	1.936690e+01
6.000000e-01	6.333333e-01	3.775549e+01	1.635109e+01	1.635109e+01
6.333333e-01	6.666667e-01	2.980572e+01	1.462356e+01	1.462356e+01
6.666667e-01	7.000000e-01	2.998303e+01	1.462417e+01	1.462417e+01
7.000000e-01	7.333333e-01	2.942769e+01	1.462246e+01	1.462246e+01
7.333333e-01	7.666667e-01	7.677639e+00	7.313207e+00	7.313207e+00
7.666667e-01	8.000000e-01	2.741604e-01	1.582866e-01	1.582866e-01
8.000000e-01	8.333333e-01	1.142335e-02	1.142335e-02	1.142335e-02
8.333333e-01	8.666667e-01	7.402308e+00	7.311494e+00	7.311494e+00
8.666667e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

