# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_Categories_C1e
Path=/res/baseline_noPU_oxford/histo_Categories_C1e
Title=Categories_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	4.848945e+09	7.078527e+06	7.078527e+06
1.000000e+00	2.000000e+00	2.148590e+06	1.350545e+05	1.350545e+05
2.000000e+00	3.000000e+00	3.026537e+06	6.138416e+04	6.138416e+04
3.000000e+00	4.000000e+00	1.025781e+06	5.635802e+04	5.635802e+04
4.000000e+00	5.000000e+00	5.092016e+05	2.745128e+04	2.745128e+04
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

