# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_m_largeR_inter_C1d
Path=/res/baseline_noPU_oxford/histo_m_largeR_inter_C1d
Title=m_largeR_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	1.550313e+03	7.967472e+02	7.967472e+02
6.000000e+00	1.200000e+01	8.495912e+04	1.257523e+04	1.257523e+04
1.200000e+01	1.800000e+01	1.755190e+05	8.076738e+03	8.076738e+03
1.800000e+01	2.400000e+01	3.054540e+05	1.068549e+04	1.068549e+04
2.400000e+01	3.000000e+01	4.536313e+05	1.790411e+04	1.790411e+04
3.000000e+01	3.600000e+01	5.123872e+05	1.453259e+04	1.453259e+04
3.600000e+01	4.200000e+01	5.693780e+05	1.873227e+04	1.873227e+04
4.200000e+01	4.800000e+01	6.116467e+05	1.785954e+04	1.785954e+04
4.800000e+01	5.400000e+01	6.008890e+05	1.719564e+04	1.719564e+04
5.400000e+01	6.000000e+01	5.876845e+05	1.855028e+04	1.855028e+04
6.000000e+01	6.600000e+01	5.391938e+05	1.764975e+04	1.764975e+04
6.600000e+01	7.200000e+01	5.140627e+05	1.702231e+04	1.702231e+04
7.200000e+01	7.800000e+01	4.828575e+05	1.272710e+04	1.272710e+04
7.800000e+01	8.400000e+01	4.895702e+05	2.681261e+04	2.681261e+04
8.400000e+01	9.000000e+01	4.056588e+05	1.496042e+04	1.496042e+04
9.000000e+01	9.600000e+01	3.611598e+05	1.209154e+04	1.209154e+04
9.600000e+01	1.020000e+02	3.015158e+05	1.169343e+04	1.169343e+04
1.020000e+02	1.080000e+02	2.871930e+05	2.248636e+04	2.248636e+04
1.080000e+02	1.140000e+02	2.228072e+05	9.727171e+03	9.727171e+03
1.140000e+02	1.200000e+02	1.854265e+05	8.706511e+03	8.706511e+03
1.200000e+02	1.260000e+02	1.343451e+05	6.683400e+03	6.683400e+03
1.260000e+02	1.320000e+02	1.049556e+05	6.881208e+03	6.881208e+03
1.320000e+02	1.380000e+02	7.989138e+04	5.834295e+03	5.834295e+03
1.380000e+02	1.440000e+02	7.975370e+04	1.051360e+04	1.051360e+04
1.440000e+02	1.500000e+02	4.927587e+04	5.983519e+03	5.983519e+03
1.500000e+02	1.560000e+02	3.593535e+04	3.086158e+03	3.086158e+03
1.560000e+02	1.620000e+02	2.754042e+04	3.136504e+03	3.136504e+03
1.620000e+02	1.680000e+02	1.797753e+04	1.418371e+03	1.418371e+03
1.680000e+02	1.740000e+02	1.870175e+04	4.066796e+03	4.066796e+03
1.740000e+02	1.800000e+02	1.003596e+04	1.328025e+03	1.328025e+03
# END HISTO1D

