# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_m_smallR_boost_C2
Path=/res/baseline_noPU_oxford/histo_m_smallR_boost_C2
ScaledBy=1
Title=m_smallR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	3.428777e-01	8.906848e-03	8.906848e-03
6.000000e+00	1.200000e+01	4.861287e-01	1.084952e-02	1.084952e-02
1.200000e+01	1.800000e+01	2.623905e-01	8.095645e-03	8.095645e-03
1.800000e+01	2.400000e+01	1.120609e-01	5.477626e-03	5.477626e-03
2.400000e+01	3.000000e+01	4.743945e-02	3.463015e-03	3.463015e-03
3.000000e+01	3.600000e+01	2.640908e-02	3.344212e-03	3.344212e-03
3.600000e+01	4.200000e+01	1.060411e-02	1.620662e-03	1.620662e-03
4.200000e+01	4.800000e+01	9.212598e-03	2.098603e-03	2.098603e-03
4.800000e+01	5.400000e+01	2.969098e-03	4.579886e-04	4.579886e-04
5.400000e+01	6.000000e+01	2.526752e-03	1.042420e-03	1.042420e-03
6.000000e+01	6.600000e+01	1.811792e-03	3.774701e-04	3.774701e-04
6.600000e+01	7.200000e+01	1.464763e-03	3.241310e-04	3.241310e-04
7.200000e+01	7.800000e+01	8.299370e-04	2.453225e-04	2.453225e-04
7.800000e+01	8.400000e+01	7.253103e-04	2.120434e-04	2.120434e-04
8.400000e+01	9.000000e+01	8.179840e-04	2.565062e-04	2.565062e-04
9.000000e+01	9.600000e+01	3.519468e-04	1.342889e-04	1.342889e-04
9.600000e+01	1.020000e+02	4.577323e-04	2.184631e-04	2.184631e-04
1.020000e+02	1.080000e+02	3.428928e-04	1.795601e-04	1.795601e-04
1.080000e+02	1.140000e+02	2.084462e-04	1.287996e-04	1.287996e-04
1.140000e+02	1.200000e+02	1.297645e-04	1.250818e-04	1.250818e-04
1.200000e+02	1.260000e+02	1.390032e-04	1.256892e-04	1.256892e-04
1.260000e+02	1.320000e+02	1.578872e-06	1.270078e-06	1.270078e-06
1.320000e+02	1.380000e+02	1.252155e-05	1.250592e-05	1.250592e-05
1.380000e+02	1.440000e+02	1.516342e-04	1.263132e-04	1.263132e-04
1.440000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.560000e+02	1.563239e-07	1.563239e-07	1.563239e-07
1.560000e+02	1.620000e+02	1.250591e-04	1.250591e-04	1.250591e-04
1.620000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

