# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_phi_H0_boost_C2
Path=/res/baseline_noPU_oxford/histo_phi_H0_boost_C2
ScaledBy=1
Title=phi_H0_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	2.194460e-01	2.197198e-02	2.197198e-02
2.100000e-01	4.200000e-01	2.766974e-01	4.608572e-02	4.608572e-02
4.200000e-01	6.300000e-01	2.455812e-01	3.645498e-02	3.645498e-02
6.300000e-01	8.400000e-01	2.320970e-01	4.402362e-02	4.402362e-02
8.400000e-01	1.050000e+00	2.148452e-01	3.461698e-02	3.461698e-02
1.050000e+00	1.260000e+00	2.728312e-01	5.315909e-02	5.315909e-02
1.260000e+00	1.470000e+00	2.616740e-01	3.670933e-02	3.670933e-02
1.470000e+00	1.680000e+00	2.706370e-01	4.582440e-02	4.582440e-02
1.680000e+00	1.890000e+00	3.200117e-01	5.455429e-02	5.455429e-02
1.890000e+00	2.100000e+00	1.833164e-01	1.862164e-02	1.862164e-02
2.100000e+00	2.310000e+00	2.766715e-01	5.330550e-02	5.330550e-02
2.310000e+00	2.520000e+00	1.710933e-01	1.871778e-02	1.871778e-02
2.520000e+00	2.730000e+00	2.214338e-01	3.461919e-02	3.461919e-02
2.730000e+00	2.940000e+00	2.461340e-01	2.413939e-02	2.413939e-02
2.940000e+00	3.150000e+00	2.614515e-01	4.542602e-02	4.542602e-02
# END HISTO1D

