# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_C2_fj_inter_C2
Path=/res/baseline_noPU_oxford/histo_C2_fj_inter_C2
ScaledBy=1
Title=C2_fj_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	1.285885e+00	2.687795e-02	2.687795e-02
1.666667e-02	3.333333e-02	1.424653e+00	2.829076e-02	2.829076e-02
3.333333e-02	5.000000e-02	1.107437e+00	2.493089e-02	2.493089e-02
5.000000e-02	6.666667e-02	7.828294e-01	2.094986e-02	2.094986e-02
6.666667e-02	8.333333e-02	5.888495e-01	1.815885e-02	1.815885e-02
8.333333e-02	1.000000e-01	4.361696e-01	1.561480e-02	1.561480e-02
1.000000e-01	1.166667e-01	3.308992e-01	1.358854e-02	1.358854e-02
1.166667e-01	1.333333e-01	3.004403e-01	1.296318e-02	1.296318e-02
1.333333e-01	1.500000e-01	2.094977e-01	1.079465e-02	1.079465e-02
1.500000e-01	1.666667e-01	1.605597e-01	9.426938e-03	9.426938e-03
1.666667e-01	1.833333e-01	1.245319e-01	8.312270e-03	8.312270e-03
1.833333e-01	2.000000e-01	1.171535e-01	8.060117e-03	8.060117e-03
2.000000e-01	2.166667e-01	9.631421e-02	7.313678e-03	7.313678e-03
2.166667e-01	2.333333e-01	7.303061e-02	6.336602e-03	6.336602e-03
2.333333e-01	2.500000e-01	6.304001e-02	5.869288e-03	5.869288e-03
2.500000e-01	2.666667e-01	5.393822e-02	5.444280e-03	5.444280e-03
2.666667e-01	2.833333e-01	4.297750e-02	4.856866e-03	4.856866e-03
2.833333e-01	3.000000e-01	3.302812e-02	4.260878e-03	4.260878e-03
3.000000e-01	3.166667e-01	3.229458e-02	4.223766e-03	4.223766e-03
3.166667e-01	3.333333e-01	2.269276e-02	3.525826e-03	3.525826e-03
3.333333e-01	3.500000e-01	9.288197e-03	2.257652e-03	2.257652e-03
3.500000e-01	3.666667e-01	1.151774e-02	2.522893e-03	2.522893e-03
3.666667e-01	3.833333e-01	1.096493e-02	2.459973e-03	2.459973e-03
3.833333e-01	4.000000e-01	4.735399e-03	1.597297e-03	1.597297e-03
4.000000e-01	4.166667e-01	1.025594e-02	2.393275e-03	2.393275e-03
4.166667e-01	4.333333e-01	2.885114e-03	1.261469e-03	1.261469e-03
4.333333e-01	4.500000e-01	2.306049e-03	1.128281e-03	1.128281e-03
4.500000e-01	4.666667e-01	2.841557e-03	1.261343e-03	1.261343e-03
4.666667e-01	4.833333e-01	9.183709e-05	7.155825e-05	7.155825e-05
4.833333e-01	5.000000e-01	5.783411e-04	5.641514e-04	5.641514e-04
5.000000e-01	5.166667e-01	5.782530e-04	5.641514e-04	5.641514e-04
5.166667e-01	5.333333e-01	7.138967e-06	7.051384e-06	7.051384e-06
5.333333e-01	5.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.500000e-01	5.666667e-01	7.932140e-06	7.105663e-06	7.105663e-06
5.666667e-01	5.833333e-01	7.138967e-06	7.051384e-06	7.051384e-06
5.833333e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.166667e-01	6.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.333333e-01	6.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.500000e-01	6.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.666667e-01	6.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.833333e-01	7.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e-01	7.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.166667e-01	7.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

