# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_phi_H0_res_C2
Path=/res/baseline_noPU_oxford/histo_phi_H0_res_C2
ScaledBy=1
Title=phi_H0_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	2.100000e-01	1.168007e-01	2.196821e-03	2.196821e-03
2.100000e-01	4.200000e-01	1.216394e-01	2.242063e-03	2.242063e-03
4.200000e-01	6.300000e-01	1.147412e-01	2.178342e-03	2.178342e-03
6.300000e-01	8.400000e-01	1.224108e-01	2.253527e-03	2.253527e-03
8.400000e-01	1.050000e+00	1.225250e-01	2.255919e-03	2.255919e-03
1.050000e+00	1.260000e+00	1.221870e-01	2.253355e-03	2.253355e-03
1.260000e+00	1.470000e+00	1.172816e-01	2.203219e-03	2.203219e-03
1.470000e+00	1.680000e+00	1.185865e-01	2.219369e-03	2.219369e-03
1.680000e+00	1.890000e+00	1.213331e-01	2.244575e-03	2.244575e-03
1.890000e+00	2.100000e+00	1.217339e-01	2.246755e-03	2.246755e-03
2.100000e+00	2.310000e+00	1.189136e-01	2.226309e-03	2.226309e-03
2.310000e+00	2.520000e+00	1.202379e-01	2.234215e-03	2.234215e-03
2.520000e+00	2.730000e+00	1.218665e-01	2.249738e-03	2.249738e-03
2.730000e+00	2.940000e+00	1.178053e-01	2.207486e-03	2.207486e-03
2.940000e+00	3.150000e+00	1.206745e-01	2.235743e-03	2.235743e-03
# END HISTO1D

