# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_pt_H0_boost_C1e
Path=/res/baseline_noPU_oxford/histo_pt_H0_boost_C1e
ScaledBy=1
Title=pt_H0_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	9.257243e-05	8.415675e-06	8.415675e-06
2.100000e+02	2.400000e+02	2.109274e-03	4.017119e-05	4.017119e-05
2.400000e+02	2.700000e+02	4.708953e-03	6.002198e-05	6.002198e-05
2.700000e+02	3.000000e+02	5.391387e-03	6.422416e-05	6.422416e-05
3.000000e+02	3.300000e+02	4.907103e-03	6.127181e-05	6.127181e-05
3.300000e+02	3.600000e+02	4.002037e-03	5.533355e-05	5.533355e-05
3.600000e+02	3.900000e+02	3.132926e-03	4.895794e-05	4.895794e-05
3.900000e+02	4.200000e+02	2.285238e-03	4.181325e-05	4.181325e-05
4.200000e+02	4.500000e+02	1.738984e-03	3.647506e-05	3.647506e-05
4.500000e+02	4.800000e+02	1.298309e-03	3.151644e-05	3.151644e-05
4.800000e+02	5.100000e+02	9.938147e-04	2.757407e-05	2.757407e-05
5.100000e+02	5.400000e+02	7.742420e-04	2.433809e-05	2.433809e-05
5.400000e+02	5.700000e+02	5.722660e-04	2.092411e-05	2.092411e-05
5.700000e+02	6.000000e+02	4.184887e-04	1.789328e-05	1.789328e-05
6.000000e+02	6.300000e+02	3.412173e-04	1.615711e-05	1.615711e-05
6.300000e+02	6.600000e+02	2.517052e-04	1.387696e-05	1.387696e-05
6.600000e+02	6.900000e+02	2.119220e-04	1.273316e-05	1.273316e-05
6.900000e+02	7.200000e+02	1.453616e-04	1.054564e-05	1.054564e-05
7.200000e+02	7.500000e+02	1.331207e-04	1.009185e-05	1.009185e-05
7.500000e+02	7.800000e+02	9.104230e-05	8.345833e-06	8.345833e-06
7.800000e+02	8.100000e+02	7.421093e-05	7.534980e-06	7.534980e-06
8.100000e+02	8.400000e+02	6.503020e-05	7.053517e-06	7.053517e-06
8.400000e+02	8.700000e+02	5.967477e-05	6.756839e-06	6.756839e-06
8.700000e+02	9.000000e+02	3.289764e-05	5.016843e-06	5.016843e-06
# END HISTO1D

