# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_dPhi_HH_inter_C1e
Path=/res/baseline_noPU_oxford/histo_dPhi_HH_inter_C1e
Title=dPhi_HH_inter_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-3.200000e+00	-2.986667e+00	3.586139e+06	1.753544e+05	1.753544e+05
-2.986667e+00	-2.773333e+00	2.524747e+06	1.522320e+05	1.522320e+05
-2.773333e+00	-2.560000e+00	8.020578e+05	7.269171e+04	7.269171e+04
-2.560000e+00	-2.346667e+00	8.268472e+05	5.605132e+05	5.605132e+05
-2.346667e+00	-2.133333e+00	7.298157e+04	1.384202e+04	1.384202e+04
-2.133333e+00	-1.920000e+00	5.836865e+04	2.751090e+04	2.751090e+04
-1.920000e+00	-1.706667e+00	2.294446e+04	1.165848e+04	1.165848e+04
-1.706667e+00	-1.493333e+00	1.084246e+04	3.743858e+03	3.743858e+03
-1.493333e+00	-1.280000e+00	9.744039e+03	4.729569e+03	4.729569e+03
-1.280000e+00	-1.066667e+00	1.281184e+04	6.076042e+03	6.076042e+03
-1.066667e+00	-8.533333e-01	6.164891e+03	2.442057e+03	2.442057e+03
-8.533333e-01	-6.400000e-01	2.464770e+03	1.154781e+03	1.154781e+03
-6.400000e-01	-4.266667e-01	3.828879e+03	1.344745e+03	1.344745e+03
-4.266667e-01	-2.133333e-01	3.264306e+03	1.653761e+03	1.653761e+03
-2.133333e-01	0.000000e+00	8.978739e+03	5.631099e+03	5.631099e+03
0.000000e+00	2.133333e-01	1.560298e+04	1.363417e+04	1.363417e+04
2.133333e-01	4.266667e-01	2.098047e+03	7.640387e+02	7.640387e+02
4.266667e-01	6.400000e-01	4.568326e+03	2.335745e+03	2.335745e+03
6.400000e-01	8.533333e-01	1.650492e+03	6.241102e+02	6.241102e+02
8.533333e-01	1.066667e+00	6.854102e+03	2.353694e+03	2.353694e+03
1.066667e+00	1.280000e+00	2.627862e+03	1.203800e+03	1.203800e+03
1.280000e+00	1.493333e+00	8.991291e+03	4.115220e+03	4.115220e+03
1.493333e+00	1.706667e+00	7.834808e+03	2.645969e+03	2.645969e+03
1.706667e+00	1.920000e+00	2.512996e+04	9.705691e+03	9.705691e+03
1.920000e+00	2.133333e+00	6.069413e+04	2.128110e+04	2.128110e+04
2.133333e+00	2.346667e+00	2.081978e+05	6.698079e+04	6.698079e+04
2.346667e+00	2.560000e+00	2.778780e+05	3.150240e+04	3.150240e+04
2.560000e+00	2.773333e+00	9.086649e+05	9.470014e+04	9.470014e+04
2.773333e+00	2.986667e+00	2.687404e+06	2.270947e+05	2.270947e+05
2.986667e+00	3.200000e+00	3.798920e+06	1.720550e+05	1.720550e+05
# END HISTO1D

