# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_pt_smallR_res_C2
Path=/res/baseline_noPU_oxford/histo_pt_smallR_res_C2
Title=pt_smallR_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	5.068293e+02	1.658111e+01	1.658111e+01
6.000000e+01	9.000000e+01	3.032675e+02	1.195619e+01	1.195619e+01
9.000000e+01	1.200000e+02	1.016320e+02	7.133284e+00	7.133284e+00
1.200000e+02	1.500000e+02	3.184918e+01	4.214012e+00	4.214012e+00
1.500000e+02	1.800000e+02	1.300199e+01	2.882675e+00	2.882675e+00
1.800000e+02	2.100000e+02	3.906293e+00	4.351993e-01	4.351993e-01
2.100000e+02	2.400000e+02	5.196560e+00	2.134885e+00	2.134885e+00
2.400000e+02	2.700000e+02	1.528585e+00	4.127128e-01	4.127128e-01
2.700000e+02	3.000000e+02	1.949044e+00	8.835701e-01	8.835701e-01
3.000000e+02	3.300000e+02	2.893834e-01	5.369653e-02	5.369653e-02
3.300000e+02	3.600000e+02	1.946090e-01	4.186249e-02	4.186249e-02
3.600000e+02	3.900000e+02	2.847044e-01	8.552579e-02	8.552579e-02
3.900000e+02	4.200000e+02	4.655680e-02	1.302400e-02	1.302400e-02
4.200000e+02	4.500000e+02	7.632573e-02	3.387602e-02	3.387602e-02
4.500000e+02	4.800000e+02	6.209787e-02	4.359563e-02	4.359563e-02
4.800000e+02	5.100000e+02	6.506537e-02	2.153755e-02	2.153755e-02
5.100000e+02	5.400000e+02	2.322970e-02	1.990723e-02	1.990723e-02
5.400000e+02	5.700000e+02	1.849322e-03	9.935526e-04	9.935526e-04
5.700000e+02	6.000000e+02	7.517290e-03	6.503894e-03	6.503894e-03
6.000000e+02	6.300000e+02	8.556573e-03	8.126529e-03	8.126529e-03
6.300000e+02	6.600000e+02	9.547593e-05	3.099698e-05	3.099698e-05
6.600000e+02	6.900000e+02	8.619260e-03	8.129235e-03	8.129235e-03
6.900000e+02	7.200000e+02	2.216096e-05	9.699537e-06	9.699537e-06
7.200000e+02	7.500000e+02	5.551650e-02	5.529858e-02	5.529858e-02
7.500000e+02	7.800000e+02	5.554533e-02	5.529858e-02	5.529858e-02
7.800000e+02	8.100000e+02	1.157076e-05	5.373492e-06	5.373492e-06
8.100000e+02	8.400000e+02	1.477458e-05	8.844459e-06	8.844459e-06
8.400000e+02	8.700000e+02	3.733433e-05	2.763743e-05	2.763743e-05
8.700000e+02	9.000000e+02	1.134230e-05	7.491451e-06	7.491451e-06
# END HISTO1D

