# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_pt_subleadSJ_fj_inter_C2
Path=/res/baseline_noPU_oxford/histo_pt_subleadSJ_fj_inter_C2
Title=pt_subleadSJ_fj_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.750386e+00	3.407674e-01	3.407674e-01
6.000000e+01	9.000000e+01	5.408613e+00	7.651639e-01	7.651639e-01
9.000000e+01	1.200000e+02	1.729380e+00	3.114852e-01	3.114852e-01
1.200000e+02	1.500000e+02	3.577100e-01	1.465490e-01	1.465490e-01
1.500000e+02	1.800000e+02	9.814477e-02	4.864068e-02	4.864068e-02
1.800000e+02	2.100000e+02	4.961293e-03	1.806579e-03	1.806579e-03
2.100000e+02	2.400000e+02	5.521833e-04	4.065251e-04	4.065251e-04
2.400000e+02	2.700000e+02	1.182526e-04	7.067083e-05	7.067083e-05
2.700000e+02	3.000000e+02	1.037060e-05	5.321290e-06	5.321290e-06
3.000000e+02	3.300000e+02	7.421960e-05	6.754311e-05	6.754311e-05
3.300000e+02	3.600000e+02	1.296802e-06	6.247576e-07	6.247576e-07
3.600000e+02	3.900000e+02	8.450373e-05	8.411755e-05	8.411755e-05
3.900000e+02	4.200000e+02	2.486989e-06	2.272720e-06	2.272720e-06
4.200000e+02	4.500000e+02	3.532560e-17	3.532421e-17	3.532421e-17
4.500000e+02	4.800000e+02	6.223890e-09	6.223891e-09	6.223891e-09
4.800000e+02	5.100000e+02	2.627939e-12	2.627938e-12	2.627938e-12
5.100000e+02	5.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+02	5.700000e+02	1.695348e-20	1.602581e-20	1.602581e-20
5.700000e+02	6.000000e+02	2.177276e-15	2.176744e-15	2.176744e-15
6.000000e+02	6.300000e+02	8.517590e-17	8.517590e-17	8.517590e-17
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	1.210148e-12	1.210148e-12	1.210148e-12
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

