# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_eta_largeR_boost_C1e
Path=/res/baseline_noPU_oxford/histo_eta_largeR_boost_C1e
ScaledBy=1
Title=eta_largeR_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.600000e+00	1.377178e-01	6.332272e-03	6.332272e-03
-1.600000e+00	-1.200000e+00	2.105074e-01	7.828854e-03	7.828854e-03
-1.200000e+00	-8.000000e-01	2.725240e-01	8.907728e-03	8.907728e-03
-8.000000e-01	-4.000000e-01	3.191095e-01	9.639051e-03	9.639051e-03
-4.000000e-01	0.000000e+00	3.281352e-01	9.774418e-03	9.774418e-03
0.000000e+00	4.000000e-01	3.435668e-01	1.000161e-02	1.000161e-02
4.000000e-01	8.000000e-01	3.226032e-01	9.691675e-03	9.691675e-03
8.000000e-01	1.200000e+00	2.891200e-01	9.174949e-03	9.174949e-03
1.200000e+00	1.600000e+00	2.078869e-01	7.779973e-03	7.779973e-03
1.600000e+00	2.000000e+00	1.380090e-01	6.338963e-03	6.338963e-03
2.000000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

