# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_m_largeR_inter_C2
Path=/res/baseline_noPU_oxford/histo_m_largeR_inter_C2
ScaledBy=1
Title=m_largeR_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	4.880268e-05	1.782751e-05	1.782751e-05
9.000000e+01	9.600000e+01	1.075303e-04	2.657381e-05	2.657381e-05
9.600000e+01	1.020000e+02	1.034494e-04	2.648237e-05	2.648237e-05
1.020000e+02	1.080000e+02	1.126720e-04	2.766825e-05	2.766825e-05
1.080000e+02	1.140000e+02	1.366406e-04	3.092067e-05	3.092067e-05
1.140000e+02	1.200000e+02	1.047518e-04	2.651834e-05	2.651834e-05
1.200000e+02	1.260000e+02	1.488499e-04	3.286905e-05	3.286905e-05
1.260000e+02	1.320000e+02	7.795422e-05	2.265655e-05	2.265655e-05
1.320000e+02	1.380000e+02	9.781907e-05	2.647233e-05	2.647233e-05
1.380000e+02	1.440000e+02	4.315020e-05	1.778707e-05	1.778707e-05
1.440000e+02	1.500000e+02	3.219308e-06	1.093661e-06	1.093661e-06
1.500000e+02	1.560000e+02	3.562380e-05	1.596841e-05	1.596841e-05
1.560000e+02	1.620000e+02	9.754623e-06	7.961512e-06	7.961512e-06
1.620000e+02	1.680000e+02	8.579337e-06	7.954297e-06	7.954297e-06
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

