# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_C2_fj2_boost_C1e
Path=/res/baseline_noPU_oxford/histo_C2_fj2_boost_C1e
ScaledBy=1
Title=C2_fj2_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	3.229545e+00	5.246613e-02	5.246613e-02
1.666667e-02	3.333333e-02	4.771444e+00	6.377249e-02	6.377249e-02
3.333333e-02	5.000000e-02	4.744166e+00	6.358991e-02	6.358991e-02
5.000000e-02	6.666667e-02	4.294127e+00	6.049868e-02	6.049868e-02
6.666667e-02	8.333333e-02	3.931029e+00	5.788441e-02	5.788441e-02
8.333333e-02	1.000000e-01	3.635262e+00	5.566423e-02	5.566423e-02
1.000000e-01	1.166667e-01	3.417908e+00	5.397444e-02	5.397444e-02
1.166667e-01	1.333333e-01	3.039484e+00	5.089899e-02	5.089899e-02
1.333333e-01	1.500000e-01	2.759896e+00	4.850141e-02	4.850141e-02
1.500000e-01	1.666667e-01	2.544253e+00	4.656806e-02	4.656806e-02
1.666667e-01	1.833333e-01	2.290267e+00	4.418271e-02	4.418271e-02
1.833333e-01	2.000000e-01	2.112113e+00	4.242937e-02	4.242937e-02
2.000000e-01	2.166667e-01	1.886241e+00	4.009652e-02	4.009652e-02
2.166667e-01	2.333333e-01	1.702145e+00	3.808970e-02	3.808970e-02
2.333333e-01	2.500000e-01	1.595592e+00	3.687812e-02	3.687812e-02
2.500000e-01	2.666667e-01	1.462625e+00	3.530812e-02	3.530812e-02
2.666667e-01	2.833333e-01	1.216305e+00	3.219812e-02	3.219812e-02
2.833333e-01	3.000000e-01	1.109755e+00	3.075540e-02	3.075540e-02
3.000000e-01	3.166667e-01	9.171246e-01	2.795903e-02	2.795903e-02
3.166667e-01	3.333333e-01	8.506462e-01	2.692674e-02	2.692674e-02
3.333333e-01	3.500000e-01	7.040380e-01	2.449661e-02	2.449661e-02
3.500000e-01	3.666667e-01	5.565819e-01	2.178073e-02	2.178073e-02
3.666667e-01	3.833333e-01	4.798737e-01	2.022426e-02	2.022426e-02
3.833333e-01	4.000000e-01	3.827034e-01	1.806089e-02	1.806089e-02
4.000000e-01	4.166667e-01	2.949117e-01	1.585455e-02	1.585455e-02
4.166667e-01	4.333333e-01	2.540006e-01	1.471386e-02	1.471386e-02
4.333333e-01	4.500000e-01	1.815497e-01	1.243958e-02	1.243958e-02
4.500000e-01	4.666667e-01	1.568316e-01	1.156178e-02	1.156178e-02
4.666667e-01	4.833333e-01	9.461096e-02	8.980076e-03	8.980076e-03
4.833333e-01	5.000000e-01	8.949630e-02	8.733947e-03	8.733947e-03
5.000000e-01	5.166667e-01	7.074472e-02	7.765241e-03	7.765241e-03
5.166667e-01	5.333333e-01	4.432226e-02	6.146391e-03	6.146391e-03
5.333333e-01	5.500000e-01	2.983211e-02	5.042547e-03	5.042547e-03
5.500000e-01	5.666667e-01	2.727507e-02	4.821597e-03	4.821597e-03
5.666667e-01	5.833333e-01	1.619467e-02	3.715313e-03	3.715313e-03
5.833333e-01	6.000000e-01	1.704692e-02	3.811807e-03	3.811807e-03
6.000000e-01	6.166667e-01	5.114076e-03	2.087813e-03	2.087813e-03
6.166667e-01	6.333333e-01	6.818811e-03	2.410813e-03	2.410813e-03
6.333333e-01	6.500000e-01	2.557038e-03	1.476307e-03	1.476307e-03
6.500000e-01	6.666667e-01	5.114076e-03	2.087813e-03	2.087813e-03
6.666667e-01	6.833333e-01	1.704702e-03	1.205406e-03	1.205406e-03
6.833333e-01	7.000000e-01	3.409384e-03	1.704692e-03	1.704692e-03
7.000000e-01	7.166667e-01	8.523463e-04	8.523460e-04	8.523460e-04
7.166667e-01	7.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

