# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_eta_leadSJ_fj1_boost_C2
Path=/res/baseline_noPU_oxford/histo_eta_leadSJ_fj1_boost_C2
ScaledBy=1
Title=eta_leadSJ_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	1.089217e-03	1.251687e-04	1.251687e-04
-2.000000e+00	-1.600000e+00	7.439773e-03	3.266761e-04	3.266761e-04
-1.600000e+00	-1.200000e+00	2.032002e-02	5.400242e-04	5.400242e-04
-1.200000e+00	-8.000000e-01	3.280473e-02	6.865622e-04	6.865622e-04
-8.000000e-01	-4.000000e-01	4.517115e-02	8.057450e-04	8.057450e-04
-4.000000e-01	0.000000e+00	5.237167e-02	8.676236e-04	8.676236e-04
0.000000e+00	4.000000e-01	5.251375e-02	8.692885e-04	8.692885e-04
4.000000e-01	8.000000e-01	4.573120e-02	8.108491e-04	8.108491e-04
8.000000e-01	1.200000e+00	3.352343e-02	6.940774e-04	6.940774e-04
1.200000e+00	1.600000e+00	1.962968e-02	5.307207e-04	5.307207e-04
1.600000e+00	2.000000e+00	8.676098e-03	3.528680e-04	3.528680e-04
2.000000e+00	2.400000e+00	9.577620e-04	1.173143e-04	1.173143e-04
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

