# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_pt_HH_res_C1e
Path=/res/baseline_noPU_oxford/histo_pt_HH_res_C1e
ScaledBy=1
Title=pt_HH_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.620076e-03	1.106594e-04	1.106594e-04
1.000000e+01	2.000000e+01	2.154593e-02	1.749506e-04	1.749506e-04
2.000000e+01	3.000000e+01	2.771693e-02	1.984291e-04	1.984291e-04
3.000000e+01	4.000000e+01	2.884487e-02	2.024264e-04	2.024264e-04
4.000000e+01	5.000000e+01	2.670689e-02	1.947801e-04	1.947801e-04
5.000000e+01	6.000000e+01	2.279036e-02	1.799320e-04	1.799320e-04
6.000000e+01	7.000000e+01	1.903150e-02	1.644255e-04	1.644255e-04
7.000000e+01	8.000000e+01	1.525986e-02	1.472340e-04	1.472340e-04
8.000000e+01	9.000000e+01	1.201100e-02	1.306238e-04	1.306238e-04
9.000000e+01	1.000000e+02	9.345993e-03	1.152247e-04	1.152247e-04
1.000000e+02	1.100000e+02	7.217964e-03	1.012605e-04	1.012605e-04
1.100000e+02	1.200000e+02	5.609868e-03	8.927073e-05	8.927073e-05
1.200000e+02	1.300000e+02	4.437890e-03	7.940010e-05	7.940010e-05
1.300000e+02	1.400000e+02	3.521617e-03	7.073002e-05	7.073002e-05
1.400000e+02	1.500000e+02	2.588296e-03	6.063728e-05	6.063728e-05
1.500000e+02	1.600000e+02	2.086831e-03	5.444731e-05	5.444731e-05
1.600000e+02	1.700000e+02	1.724584e-03	4.949655e-05	4.949655e-05
1.700000e+02	1.800000e+02	1.329662e-03	4.346137e-05	4.346137e-05
1.800000e+02	1.900000e+02	1.072538e-03	3.903364e-05	3.903364e-05
1.900000e+02	2.000000e+02	8.409831e-04	3.456419e-05	3.456419e-05
2.000000e+02	2.100000e+02	7.060280e-04	3.166969e-05	3.166969e-05
2.100000e+02	2.200000e+02	5.980640e-04	2.914785e-05	2.914785e-05
2.200000e+02	2.300000e+02	4.886793e-04	2.634783e-05	2.634783e-05
2.300000e+02	2.400000e+02	3.878182e-04	2.347183e-05	2.347183e-05
2.400000e+02	2.500000e+02	3.082658e-04	2.092644e-05	2.092644e-05
2.500000e+02	2.600000e+02	2.557043e-04	1.905907e-05	1.905907e-05
2.600000e+02	2.700000e+02	2.145075e-04	1.745637e-05	1.745637e-05
2.700000e+02	2.800000e+02	2.031429e-04	1.698766e-05	1.698766e-05
2.800000e+02	2.900000e+02	1.392168e-04	1.406302e-05	1.406302e-05
2.900000e+02	3.000000e+02	1.377962e-04	1.399109e-05	1.399109e-05
# END HISTO1D

