# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_m_largeR_inter_C2
Path=/res/baseline_noPU_oxford/histo_m_largeR_inter_C2
ScaledBy=1
Title=m_largeR_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	5.549282e-04	3.092574e-05	3.092574e-05
9.000000e+01	9.600000e+01	7.291005e-04	3.347584e-05	3.347584e-05
9.600000e+01	1.020000e+02	9.907823e-04	4.091769e-05	4.091769e-05
1.020000e+02	1.080000e+02	1.055447e-03	4.169949e-05	4.169949e-05
1.080000e+02	1.140000e+02	1.044637e-03	4.064695e-05	4.064695e-05
1.140000e+02	1.200000e+02	1.100289e-03	4.283675e-05	4.283675e-05
1.200000e+02	1.260000e+02	1.192629e-03	4.491061e-05	4.491061e-05
1.260000e+02	1.320000e+02	1.126682e-03	4.412049e-05	4.412049e-05
1.320000e+02	1.380000e+02	8.534860e-04	3.815319e-05	3.815319e-05
1.380000e+02	1.440000e+02	6.302503e-04	3.230134e-05	3.230134e-05
1.440000e+02	1.500000e+02	4.647497e-04	2.758797e-05	2.758797e-05
1.500000e+02	1.560000e+02	4.074462e-04	2.598906e-05	2.598906e-05
1.560000e+02	1.620000e+02	2.812837e-04	2.107166e-05	2.107166e-05
1.620000e+02	1.680000e+02	1.118661e-04	1.218245e-05	1.218245e-05
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

