# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_m_smallR_res_C2
Path=/res/baseline_noPU_oxford/histo_m_smallR_res_C2
ScaledBy=1
Title=m_smallR_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	1.305268e-01	4.677438e-04	4.677438e-04
6.000000e+00	1.200000e+01	1.536641e-01	5.102307e-04	5.102307e-04
1.200000e+01	1.800000e+01	4.490825e-02	2.746269e-04	2.746269e-04
1.800000e+01	2.400000e+01	1.627029e-02	1.636734e-04	1.636734e-04
2.400000e+01	3.000000e+01	6.043150e-03	9.665167e-05	9.665167e-05
3.000000e+01	3.600000e+01	2.629675e-03	6.290334e-05	6.290334e-05
3.600000e+01	4.200000e+01	1.222140e-03	4.295677e-05	4.295677e-05
4.200000e+01	4.800000e+01	5.157848e-04	2.559670e-05	2.559670e-05
4.800000e+01	5.400000e+01	3.121213e-04	2.023994e-05	2.023994e-05
5.400000e+01	6.000000e+01	1.333377e-04	1.180589e-05	1.180589e-05
6.000000e+01	6.600000e+01	9.454818e-05	1.078416e-05	1.078416e-05
6.600000e+01	7.200000e+01	5.126085e-05	7.792561e-06	7.792561e-06
7.200000e+01	7.800000e+01	4.680040e-05	7.379165e-06	7.379165e-06
7.800000e+01	8.400000e+01	2.190933e-05	4.866767e-06	4.866767e-06
8.400000e+01	9.000000e+01	6.865412e-06	1.347005e-06	1.347005e-06
9.000000e+01	9.600000e+01	5.561150e-06	2.727377e-06	2.727377e-06
9.600000e+01	1.020000e+02	2.340478e-06	7.997060e-07	7.997060e-07
1.020000e+02	1.080000e+02	9.235545e-07	4.667970e-07	4.667970e-07
1.080000e+02	1.140000e+02	1.044559e-06	5.617060e-07	5.617060e-07
1.140000e+02	1.200000e+02	7.352887e-08	5.174100e-08	5.174100e-08
1.200000e+02	1.260000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+02	1.320000e+02	4.545053e-10	4.071488e-10	4.071488e-10
1.320000e+02	1.380000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+02	1.620000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.620000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

