# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_pt_smallR_boost_C2
Path=/res/baseline_noPU_oxford/histo_pt_smallR_boost_C2
ScaledBy=1
Title=pt_smallR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.830502e-03	2.275987e-05	2.275987e-05
6.000000e+01	9.000000e+01	2.286312e-03	2.548592e-05	2.548592e-05
9.000000e+01	1.200000e+02	1.726729e-03	2.184587e-05	2.184587e-05
1.200000e+02	1.500000e+02	1.356102e-03	1.932193e-05	1.932193e-05
1.500000e+02	1.800000e+02	1.010819e-03	1.661643e-05	1.661643e-05
1.800000e+02	2.100000e+02	6.946117e-04	1.359273e-05	1.359273e-05
2.100000e+02	2.400000e+02	4.345553e-04	1.032793e-05	1.032793e-05
2.400000e+02	2.700000e+02	2.990587e-04	8.800194e-06	8.800194e-06
2.700000e+02	3.000000e+02	1.721135e-04	6.437752e-06	6.437752e-06
3.000000e+02	3.300000e+02	1.041317e-04	4.984601e-06	4.984601e-06
3.300000e+02	3.600000e+02	6.220027e-05	3.594955e-06	3.594955e-06
3.600000e+02	3.900000e+02	4.444530e-05	3.142238e-06	3.142238e-06
3.900000e+02	4.200000e+02	3.147046e-05	2.793532e-06	2.793532e-06
4.200000e+02	4.500000e+02	1.760425e-05	1.806760e-06	1.806760e-06
4.500000e+02	4.800000e+02	1.356718e-05	1.750901e-06	1.750901e-06
4.800000e+02	5.100000e+02	9.402910e-06	1.290777e-06	1.290777e-06
5.100000e+02	5.400000e+02	8.300390e-06	1.360804e-06	1.360804e-06
5.400000e+02	5.700000e+02	5.891917e-06	1.217426e-06	1.217426e-06
5.700000e+02	6.000000e+02	4.746217e-06	1.091796e-06	1.091796e-06
6.000000e+02	6.300000e+02	3.173484e-06	7.991737e-07	7.991737e-07
6.300000e+02	6.600000e+02	3.412080e-06	9.430631e-07	9.430631e-07
6.600000e+02	6.900000e+02	2.091422e-06	5.907215e-07	5.907215e-07
6.900000e+02	7.200000e+02	1.757644e-06	5.792618e-07	5.792618e-07
7.200000e+02	7.500000e+02	8.418543e-07	1.980566e-07	1.980566e-07
7.500000e+02	7.800000e+02	7.328497e-07	1.962934e-07	1.962934e-07
7.800000e+02	8.100000e+02	4.514290e-07	1.472733e-07	1.472733e-07
8.100000e+02	8.400000e+02	1.019904e-06	5.415036e-07	5.415036e-07
8.400000e+02	8.700000e+02	2.872979e-07	1.300194e-07	1.300194e-07
8.700000e+02	9.000000e+02	8.451980e-08	6.560350e-08	6.560350e-08
# END HISTO1D

