# BEGIN HISTO1D /res/baseline_noPU_oxford/histo_pt_smallR_res_C2
Path=/res/baseline_noPU_oxford/histo_pt_smallR_res_C2
ScaledBy=1
Title=pt_smallR_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	2.516388e-02	9.338325e-05	9.338325e-05
6.000000e+01	9.000000e+01	2.383606e-02	9.032450e-05	9.032450e-05
9.000000e+01	1.200000e+02	1.174748e-02	6.294883e-05	6.294883e-05
1.200000e+02	1.500000e+02	5.256310e-03	4.064460e-05	4.064460e-05
1.500000e+02	1.800000e+02	2.456936e-03	2.679537e-05	2.679537e-05
1.800000e+02	2.100000e+02	1.246100e-03	1.830306e-05	1.830306e-05
2.100000e+02	2.400000e+02	6.585030e-04	1.270031e-05	1.270031e-05
2.400000e+02	2.700000e+02	3.930920e-04	9.714110e-06	9.714110e-06
2.700000e+02	3.000000e+02	2.112537e-04	6.799202e-06	6.799202e-06
3.000000e+02	3.300000e+02	1.280976e-04	5.198871e-06	5.198871e-06
3.300000e+02	3.600000e+02	7.844410e-05	4.223474e-06	4.223474e-06
3.600000e+02	3.900000e+02	4.885827e-05	3.271351e-06	3.271351e-06
3.900000e+02	4.200000e+02	3.204997e-05	2.647265e-06	2.647265e-06
4.200000e+02	4.500000e+02	1.737847e-05	1.856493e-06	1.856493e-06
4.500000e+02	4.800000e+02	1.207924e-05	1.826071e-06	1.826071e-06
4.800000e+02	5.100000e+02	6.065787e-06	1.225180e-06	1.225180e-06
5.100000e+02	5.400000e+02	6.264530e-06	1.240792e-06	1.240792e-06
5.400000e+02	5.700000e+02	1.838519e-06	5.793440e-07	5.793440e-07
5.700000e+02	6.000000e+02	7.965537e-07	2.056215e-07	2.056215e-07
6.000000e+02	6.300000e+02	3.361660e-07	1.294746e-07	1.294746e-07
6.300000e+02	6.600000e+02	6.685617e-07	1.953207e-07	1.953207e-07
6.600000e+02	6.900000e+02	3.484977e-07	1.436814e-07	1.436814e-07
6.900000e+02	7.200000e+02	8.160897e-09	8.080498e-09	8.080498e-09
7.200000e+02	7.500000e+02	2.666431e-08	1.295338e-08	1.295338e-08
7.500000e+02	7.800000e+02	8.403300e-08	6.560320e-08	6.560320e-08
7.800000e+02	8.100000e+02	6.544877e-09	6.464580e-09	6.464580e-09
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

