# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dPhi_HH_boost_C1d
Path=/res/oxford_combined_rw2/histo_dPhi_HH_boost_C1d
Title=dPhi_HH_boost_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-3.200000e+00	-2.986667e+00	9.075094e+03	1.590898e+02	1.590898e+02
-2.986667e+00	-2.773333e+00	4.646293e+03	1.138332e+02	1.138332e+02
-2.773333e+00	-2.560000e+00	1.843466e+03	7.170252e+01	7.170252e+01
-2.560000e+00	-2.346667e+00	7.334819e+02	4.522843e+01	4.522843e+01
-2.346667e+00	-2.133333e+00	2.900447e+02	2.844122e+01	2.844122e+01
-2.133333e+00	-1.920000e+00	1.450230e+02	2.011107e+01	2.011107e+01
-1.920000e+00	-1.706667e+00	7.530045e+01	1.449157e+01	1.449157e+01
-1.706667e+00	-1.493333e+00	5.577784e+01	1.247230e+01	1.247230e+01
-1.493333e+00	-1.280000e+00	1.952233e+01	7.378747e+00	7.378747e+00
-1.280000e+00	-1.066667e+00	2.510014e+01	8.366712e+00	8.366712e+00
-1.066667e+00	-8.533333e-01	5.577792e+00	3.944093e+00	3.944093e+00
-8.533333e-01	-6.400000e-01	5.577802e+00	3.944101e+00	3.944101e+00
-6.400000e-01	-4.266667e-01	5.577802e+00	3.944101e+00	3.944101e+00
-4.266667e-01	-2.133333e-01	1.394449e+01	6.236168e+00	6.236168e+00
-2.133333e-01	3.885781e-16	5.577802e+00	3.944101e+00	3.944101e+00
3.885781e-16	2.133333e-01	5.577802e+00	3.944101e+00	3.944101e+00
2.133333e-01	4.266667e-01	2.788899e+00	2.788899e+00	2.788899e+00
4.266667e-01	6.400000e-01	1.394450e+01	6.236171e+00	6.236171e+00
6.400000e-01	8.533333e-01	1.673340e+01	6.831382e+00	6.831382e+00
8.533333e-01	1.066667e+00	1.394448e+01	6.236160e+00	6.236160e+00
1.066667e+00	1.280000e+00	1.394452e+01	6.236180e+00	6.236180e+00
1.280000e+00	1.493333e+00	3.346685e+01	9.661047e+00	9.661047e+00
1.493333e+00	1.706667e+00	2.788891e+01	8.819248e+00	8.819248e+00
1.706667e+00	1.920000e+00	6.414479e+01	1.337511e+01	1.337511e+01
1.920000e+00	2.133333e+00	1.394452e+02	1.972053e+01	1.972053e+01
2.133333e+00	2.346667e+00	2.705225e+02	2.746739e+01	2.746739e+01
2.346667e+00	2.560000e+00	7.362710e+02	4.531433e+01	4.531433e+01
2.560000e+00	2.773333e+00	1.621270e+03	6.726782e+01	6.726782e+01
2.773333e+00	2.986667e+00	4.576571e+03	1.129759e+02	1.129759e+02
2.986667e+00	3.200000e+00	9.013739e+03	1.585511e+02	1.585511e+02
# END HISTO1D

