# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_leadSJ_fj1_boost_C1e
Path=/res/oxford_combined_rw2/histo_pt_leadSJ_fj1_boost_C1e
Title=pt_leadSJ_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	1.085073e+03	6.587323e+01	6.587323e+01
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	5.680247e+01	1.466633e+01	1.466633e+01
9.000000e+01	1.200000e+02	2.726518e+02	3.213232e+01	3.213232e+01
1.200000e+02	1.500000e+02	5.566640e+02	4.591288e+01	4.591288e+01
1.500000e+02	1.800000e+02	7.032953e+02	5.225356e+01	5.225356e+01
1.800000e+02	2.100000e+02	6.579007e+02	5.009595e+01	5.009595e+01
2.100000e+02	2.400000e+02	4.173247e+02	3.979781e+01	3.979781e+01
2.400000e+02	2.700000e+02	4.037523e+02	3.928547e+01	3.928547e+01
2.700000e+02	3.000000e+02	3.332410e+02	3.552361e+01	3.552361e+01
3.000000e+02	3.300000e+02	2.405665e+02	3.221854e+01	3.221854e+01
3.300000e+02	3.600000e+02	1.401127e+02	2.303438e+01	2.303438e+01
3.600000e+02	3.900000e+02	7.763917e+01	1.745941e+01	1.745941e+01
3.900000e+02	4.200000e+02	5.819997e+01	1.633716e+01	1.633716e+01
4.200000e+02	4.500000e+02	5.292373e+01	1.510158e+01	1.510158e+01
4.500000e+02	4.800000e+02	4.165513e+01	1.255949e+01	1.255949e+01
4.800000e+02	5.100000e+02	2.650781e+01	1.001901e+01	1.001901e+01
5.100000e+02	5.400000e+02	2.650781e+01	1.001901e+01	1.001901e+01
5.400000e+02	5.700000e+02	1.514732e+01	7.573659e+00	7.573659e+00
5.700000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.300000e+02	7.573660e+00	5.355386e+00	5.355386e+00
6.300000e+02	6.600000e+02	1.136049e+01	6.558981e+00	6.558981e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

