# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H0_inter_C1d
Path=/res/oxford_combined_rw2/histo_eta_H0_inter_C1d
Title=eta_H0_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	1.903889e+02	1.682816e+01	1.682816e+01
-2.400000e+00	-2.000000e+00	1.278816e+03	4.373620e+01	4.373620e+01
-2.000000e+00	-1.600000e+00	2.585125e+03	6.200926e+01	6.200926e+01
-1.600000e+00	-1.200000e+00	3.311660e+03	7.019452e+01	7.019452e+01
-1.200000e+00	-8.000000e-01	4.090388e+03	7.800061e+01	7.800061e+01
-8.000000e-01	-4.000000e-01	4.700225e+03	8.361328e+01	8.361328e+01
-4.000000e-01	7.771561e-16	5.051255e+03	8.667933e+01	8.667933e+01
7.771561e-16	4.000000e-01	5.000683e+03	8.624431e+01	8.624431e+01
4.000000e-01	8.000000e-01	4.641895e+03	8.315885e+01	8.315885e+01
8.000000e-01	1.200000e+00	4.097823e+03	7.807149e+01	7.807149e+01
1.200000e+00	1.600000e+00	3.430915e+03	7.144983e+01	7.144983e+01
1.600000e+00	2.000000e+00	2.653545e+03	6.282451e+01	6.282451e+01
2.000000e+00	2.400000e+00	1.301705e+03	4.444887e+01	4.444887e+01
2.400000e+00	2.800000e+00	2.171624e+02	1.797248e+01	1.797248e+01
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

