# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_HH_inter_C1d
Path=/res/oxford_combined_rw2/histo_pt_HH_inter_C1d
Title=pt_HH_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.108502e+04	2.220359e+03	2.220359e+03
1.000000e+01	2.000000e+01	8.138454e+04	3.593298e+03	3.593298e+03
2.000000e+01	3.000000e+01	1.345286e+05	4.638817e+03	4.638817e+03
3.000000e+01	4.000000e+01	1.826532e+05	5.389269e+03	5.389269e+03
4.000000e+01	5.000000e+01	2.193201e+05	5.907472e+03	5.907472e+03
5.000000e+01	6.000000e+01	2.556456e+05	6.375577e+03	6.375577e+03
6.000000e+01	7.000000e+01	2.791512e+05	6.815711e+03	6.815711e+03
7.000000e+01	8.000000e+01	3.000844e+05	7.005327e+03	7.005327e+03
8.000000e+01	9.000000e+01	3.215360e+05	7.260011e+03	7.260011e+03
9.000000e+01	1.000000e+02	3.114544e+05	7.037243e+03	7.037243e+03
1.000000e+02	1.100000e+02	3.236707e+05	7.312353e+03	7.312353e+03
1.100000e+02	1.200000e+02	3.103901e+05	7.058041e+03	7.058041e+03
1.200000e+02	1.300000e+02	2.982091e+05	6.970448e+03	6.970448e+03
1.300000e+02	1.400000e+02	2.835126e+05	6.720835e+03	6.720835e+03
1.400000e+02	1.500000e+02	2.677007e+05	6.562087e+03	6.562087e+03
1.500000e+02	1.600000e+02	2.488371e+05	6.284435e+03	6.284435e+03
1.600000e+02	1.700000e+02	2.270909e+05	6.280849e+03	6.280849e+03
1.700000e+02	1.800000e+02	2.061104e+05	5.790364e+03	5.790364e+03
1.800000e+02	1.900000e+02	1.868342e+05	5.460351e+03	5.460351e+03
1.900000e+02	2.000000e+02	1.641325e+05	5.154739e+03	5.154739e+03
2.000000e+02	2.100000e+02	1.530672e+05	4.939422e+03	4.939422e+03
2.100000e+02	2.200000e+02	1.285531e+05	4.517341e+03	4.517341e+03
2.200000e+02	2.300000e+02	1.251332e+05	4.454863e+03	4.454863e+03
2.300000e+02	2.400000e+02	1.151132e+05	4.285884e+03	4.285884e+03
2.400000e+02	2.500000e+02	1.002005e+05	4.108738e+03	4.108738e+03
2.500000e+02	2.600000e+02	9.918145e+04	3.972514e+03	3.972514e+03
2.600000e+02	2.700000e+02	8.707511e+04	3.741680e+03	3.741680e+03
2.700000e+02	2.800000e+02	8.008100e+04	3.814234e+03	3.814234e+03
2.800000e+02	2.900000e+02	7.330100e+04	3.559854e+03	3.559854e+03
2.900000e+02	3.000000e+02	6.735862e+04	3.296281e+03	3.296281e+03
# END HISTO1D

