# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_smallR_boost_C1b
Path=/res/oxford_combined_rw2/histo_pt_smallR_boost_C1b
Title=pt_smallR_boost_C1b
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.637420e+06	9.488830e+03	9.488830e+03
6.000000e+01	9.000000e+01	1.143855e+06	7.924692e+03	7.924692e+03
9.000000e+01	1.200000e+02	6.445433e+05	5.858851e+03	5.858851e+03
1.200000e+02	1.500000e+02	4.823677e+05	5.119986e+03	5.119986e+03
1.500000e+02	1.800000e+02	4.615043e+05	5.025788e+03	5.025788e+03
1.800000e+02	2.100000e+02	5.904620e+05	5.639376e+03	5.639376e+03
2.100000e+02	2.400000e+02	7.264460e+05	6.265655e+03	6.265655e+03
2.400000e+02	2.700000e+02	5.349993e+05	5.398329e+03	5.398329e+03
2.700000e+02	3.000000e+02	3.581943e+05	4.462019e+03	4.462019e+03
3.000000e+02	3.300000e+02	2.375407e+05	3.573228e+03	3.573228e+03
3.300000e+02	3.600000e+02	1.626572e+05	2.971606e+03	2.971606e+03
3.600000e+02	3.900000e+02	1.122582e+05	2.478981e+03	2.478981e+03
3.900000e+02	4.200000e+02	7.242523e+04	1.965613e+03	1.965613e+03
4.200000e+02	4.500000e+02	5.052767e+04	1.694563e+03	1.694563e+03
4.500000e+02	4.800000e+02	3.560957e+04	1.419395e+03	1.419395e+03
4.800000e+02	5.100000e+02	2.559325e+04	1.218037e+03	1.218037e+03
5.100000e+02	5.400000e+02	1.820526e+04	9.845867e+02	9.845867e+02
5.400000e+02	5.700000e+02	1.275787e+04	8.595333e+02	8.595333e+02
5.700000e+02	6.000000e+02	8.372560e+03	6.663770e+02	6.663770e+02
6.000000e+02	6.300000e+02	6.978270e+03	6.073804e+02	6.073804e+02
6.300000e+02	6.600000e+02	4.387850e+03	4.816293e+02	4.816293e+02
6.600000e+02	6.900000e+02	4.440717e+03	4.845220e+02	4.845220e+02
6.900000e+02	7.200000e+02	2.643284e+03	3.738168e+02	3.738168e+02
7.200000e+02	7.500000e+02	2.378955e+03	3.546338e+02	3.546338e+02
7.500000e+02	7.800000e+02	1.850298e+03	3.127576e+02	3.127576e+02
7.800000e+02	8.100000e+02	1.374623e+03	2.695858e+02	2.695858e+02
8.100000e+02	8.400000e+02	9.515820e+02	2.242901e+02	2.242901e+02
8.400000e+02	8.700000e+02	6.343880e+02	1.831321e+02	1.831321e+02
8.700000e+02	9.000000e+02	5.286567e+02	1.671760e+02	1.671760e+02
# END HISTO1D

