# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_smallR_res_C1e
Path=/res/oxford_combined_rw2/histo_pt_smallR_res_C1e
Title=pt_smallR_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	1.140378e+07	2.513877e+04	2.513877e+04
6.000000e+01	9.000000e+01	5.456767e+06	1.738077e+04	1.738077e+04
9.000000e+01	1.200000e+02	1.608787e+06	9.271704e+03	9.271704e+03
1.200000e+02	1.500000e+02	4.881730e+05	5.118773e+03	5.118773e+03
1.500000e+02	1.800000e+02	1.590455e+05	2.943725e+03	2.943725e+03
1.800000e+02	2.100000e+02	6.654457e+04	1.883131e+03	1.883131e+03
2.100000e+02	2.400000e+02	3.216307e+04	1.307529e+03	1.307529e+03
2.400000e+02	2.700000e+02	1.824101e+04	9.979556e+02	9.979556e+02
2.700000e+02	3.000000e+02	8.435197e+03	6.751183e+02	6.751183e+02
3.000000e+02	3.300000e+02	5.902787e+03	5.610435e+02	5.610435e+02
3.300000e+02	3.600000e+02	3.714723e+03	4.442160e+02	4.442160e+02
3.600000e+02	3.900000e+02	1.903164e+03	3.171941e+02	3.171941e+02
3.900000e+02	4.200000e+02	1.004448e+03	2.304362e+02	2.304362e+02
4.200000e+02	4.500000e+02	9.515820e+02	2.242901e+02	2.242901e+02
4.500000e+02	4.800000e+02	3.171940e+02	1.294939e+02	1.294939e+02
4.800000e+02	5.100000e+02	3.171940e+02	1.294939e+02	1.294939e+02
5.100000e+02	5.400000e+02	2.643283e+02	1.182113e+02	1.182113e+02
5.400000e+02	5.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.700000e+02	6.000000e+02	5.286567e+01	5.286568e+01	5.286568e+01
6.000000e+02	6.300000e+02	5.286567e+01	5.286568e+01	5.286568e+01
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

