# BEGIN HISTO1D /res/oxford_combined_rw2/histo_Categories_C1c
Path=/res/oxford_combined_rw2/histo_Categories_C1c
Title=Categories_C1c
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.996009e+05	1.875242e+02	1.875242e+02
1.000000e+00	2.000000e+00	2.575852e+03	1.738400e+01	1.738400e+01
2.000000e+00	3.000000e+00	1.094751e+03	1.133024e+01	1.133024e+01
3.000000e+00	4.000000e+00	2.903262e+04	5.835704e+01	5.835704e+01
4.000000e+00	5.000000e+00	1.970264e+04	4.806694e+01	4.806694e+01
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

