# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_smallR_boost_C2
Path=/res/oxford_combined_rw2/histo_pt_smallR_boost_C2
Title=pt_smallR_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	2.872718e+00	4.604680e-01	4.604680e-01
6.000000e+01	9.000000e+01	8.610333e+00	2.759833e+00	2.759833e+00
9.000000e+01	1.200000e+02	5.361857e+00	2.223491e+00	2.223491e+00
1.200000e+02	1.500000e+02	4.934740e+00	1.663066e+00	1.663066e+00
1.500000e+02	1.800000e+02	3.723687e+00	1.615171e+00	1.615171e+00
1.800000e+02	2.100000e+02	1.259543e+00	2.263555e-01	2.263555e-01
2.100000e+02	2.400000e+02	2.347634e+00	1.564702e+00	1.564702e+00
2.400000e+02	2.700000e+02	5.025013e-01	7.101701e-02	7.101701e-02
2.700000e+02	3.000000e+02	5.091560e-01	2.016545e-01	2.016545e-01
3.000000e+02	3.300000e+02	1.832142e+00	1.552148e+00	1.552148e+00
3.300000e+02	3.600000e+02	1.322748e-01	3.658026e-02	3.658026e-02
3.600000e+02	3.900000e+02	6.033813e-02	1.899268e-02	1.899268e-02
3.900000e+02	4.200000e+02	3.752260e-01	2.749962e-01	2.749962e-01
4.200000e+02	4.500000e+02	7.774633e-02	4.445128e-02	4.445128e-02
4.500000e+02	4.800000e+02	3.778333e-02	1.644083e-02	1.644083e-02
4.800000e+02	5.100000e+02	1.929734e-02	1.151342e-02	1.151342e-02
5.100000e+02	5.400000e+02	2.429961e-02	1.223414e-02	1.223414e-02
5.400000e+02	5.700000e+02	9.641223e-03	8.141674e-03	8.141674e-03
5.700000e+02	6.000000e+02	2.992472e-02	2.460859e-02	2.460859e-02
6.000000e+02	6.300000e+02	3.352993e-02	1.625312e-02	1.625312e-02
6.300000e+02	6.600000e+02	6.225053e-04	3.453584e-04	3.453584e-04
6.600000e+02	6.900000e+02	4.109040e-04	2.500592e-04	2.500592e-04
6.900000e+02	7.200000e+02	1.647434e-02	1.148858e-02	1.148858e-02
7.200000e+02	7.500000e+02	3.433833e-04	2.463150e-04	2.463150e-04
7.500000e+02	7.800000e+02	1.462541e-04	5.627884e-05	5.627884e-05
7.800000e+02	8.100000e+02	1.759489e-04	6.176500e-05	6.176500e-05
8.100000e+02	8.400000e+02	3.429463e-05	2.539589e-05	2.539589e-05
8.400000e+02	8.700000e+02	8.684787e-05	4.361817e-05	4.361817e-05
8.700000e+02	9.000000e+02	6.503073e-06	3.589873e-06	3.589873e-06
# END HISTO1D

