# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H1_boost_C2
Path=/res/oxford_combined_rw2/histo_pt_H1_boost_C2
Title=pt_H1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	9.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.100000e+02	9.430527e-05	7.000064e-06	7.000064e-06
2.100000e+02	2.400000e+02	8.969307e-04	2.169858e-05	2.169858e-05
2.400000e+02	2.700000e+02	1.975456e-03	3.231742e-05	3.231742e-05
2.700000e+02	3.000000e+02	2.138286e-03	3.364963e-05	3.364963e-05
3.000000e+02	3.300000e+02	1.753685e-03	3.047405e-05	3.047405e-05
3.300000e+02	3.600000e+02	1.216273e-03	2.537635e-05	2.537635e-05
3.600000e+02	3.900000e+02	8.985823e-04	2.182551e-05	2.182551e-05
3.900000e+02	4.200000e+02	6.086150e-04	1.795901e-05	1.795901e-05
4.200000e+02	4.500000e+02	4.297133e-04	1.509049e-05	1.509049e-05
4.500000e+02	4.800000e+02	3.064407e-04	1.275432e-05	1.275432e-05
4.800000e+02	5.100000e+02	2.112621e-04	1.059549e-05	1.059549e-05
5.100000e+02	5.400000e+02	1.666680e-04	9.407541e-06	9.407541e-06
5.400000e+02	5.700000e+02	1.197451e-04	7.974011e-06	7.974011e-06
5.700000e+02	6.000000e+02	7.942737e-05	6.489418e-06	6.489418e-06
6.000000e+02	6.300000e+02	6.196223e-05	5.739095e-06	5.739095e-06
6.300000e+02	6.600000e+02	4.536047e-05	4.905345e-06	4.905345e-06
6.600000e+02	6.900000e+02	2.696639e-05	3.784110e-06	3.784110e-06
6.900000e+02	7.200000e+02	2.913134e-05	3.933042e-06	3.933042e-06
7.200000e+02	7.500000e+02	1.675843e-05	2.980584e-06	2.980584e-06
7.500000e+02	7.800000e+02	1.345581e-05	2.675363e-06	2.675363e-06
7.800000e+02	8.100000e+02	8.577233e-06	2.140231e-06	2.140231e-06
8.100000e+02	8.400000e+02	5.384467e-06	1.692050e-06	1.692050e-06
8.400000e+02	8.700000e+02	3.217253e-06	1.310622e-06	1.310622e-06
8.700000e+02	9.000000e+02	1.076960e-06	7.567079e-07	7.567079e-07
# END HISTO1D

