# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_leadSJ_fj1_boost_C2
Path=/res/oxford_combined_rw2/histo_eta_leadSJ_fj1_boost_C2
Title=eta_leadSJ_fj1_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	6.168613e-01	6.092921e-01	6.092921e-01
-2.000000e+00	-1.600000e+00	1.904651e+00	1.055517e+00	1.055517e+00
-1.600000e+00	-1.200000e+00	8.736757e+00	2.281072e+00	2.281072e+00
-1.200000e+00	-8.000000e-01	1.071036e+01	2.514587e+00	2.514587e+00
-8.000000e-01	-4.000000e-01	1.309563e+01	2.792314e+00	2.792314e+00
-4.000000e-01	7.771561e-16	1.206685e+01	2.659280e+00	2.659280e+00
7.771561e-16	4.000000e-01	1.302769e+01	2.792221e+00	2.792221e+00
4.000000e-01	8.000000e-01	8.890225e+00	2.282470e+00	2.282470e+00
8.000000e-01	1.200000e+00	1.116965e+01	2.585098e+00	2.585098e+00
1.200000e+00	1.600000e+00	1.184352e+01	2.657000e+00	2.657000e+00
1.600000e+00	2.000000e+00	4.996380e+00	1.724987e+00	1.724987e+00
2.000000e+00	2.400000e+00	6.095300e-01	6.092445e-01	6.092445e-01
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

