# BEGIN HISTO1D /res/oxford_combined_rw2/histo_phi_H1_res_C1e
Path=/res/oxford_combined_rw2/histo_phi_H1_res_C1e
Title=phi_H1_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	-3.885781e-16	0.000000e+00	0.000000e+00	0.000000e+00
-3.885781e-16	2.100000e-01	5.077038e+03	1.199337e+02	1.199337e+02
2.100000e-01	4.200000e-01	5.037371e+03	1.194643e+02	1.194643e+02
4.200000e-01	6.300000e-01	5.147867e+03	1.207674e+02	1.207674e+02
6.300000e-01	8.400000e-01	5.131176e+03	1.207895e+02	1.207895e+02
8.400000e-01	1.050000e+00	5.125200e+03	1.205013e+02	1.205013e+02
1.050000e+00	1.260000e+00	4.961214e+03	1.185623e+02	1.185623e+02
1.260000e+00	1.470000e+00	5.128052e+03	1.211959e+02	1.211959e+02
1.470000e+00	1.680000e+00	4.961129e+03	1.185601e+02	1.185601e+02
1.680000e+00	1.890000e+00	4.933757e+03	1.182499e+02	1.182499e+02
1.890000e+00	2.100000e+00	5.074205e+03	1.199003e+02	1.199003e+02
2.100000e+00	2.310000e+00	5.238529e+03	1.218262e+02	1.218262e+02
2.310000e+00	2.520000e+00	5.049676e+03	1.196255e+02	1.196255e+02
2.520000e+00	2.730000e+00	5.043038e+03	1.195315e+02	1.195315e+02
2.730000e+00	2.940000e+00	5.077038e+03	1.199337e+02	1.199337e+02
2.940000e+00	3.150000e+00	5.159205e+03	1.209004e+02	1.209004e+02
# END HISTO1D

