# BEGIN HISTO1D /res/oxford_combined_rw2/histo_phi_H0_res_C1d
Path=/res/oxford_combined_rw2/histo_phi_H0_res_C1d
Title=phi_H0_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-3.150000e+00	-2.940000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.940000e+00	-2.730000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.730000e+00	-2.520000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.520000e+00	-2.310000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.310000e+00	-2.100000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e+00	-1.890000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.890000e+00	-1.680000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.680000e+00	-1.470000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.470000e+00	-1.260000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.260000e+00	-1.050000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.050000e+00	-8.400000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e-01	-6.300000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-6.300000e-01	-4.200000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e-01	-2.100000e-01	0.000000e+00	0.000000e+00	0.000000e+00
-2.100000e-01	-3.885781e-16	0.000000e+00	0.000000e+00	0.000000e+00
-3.885781e-16	2.100000e-01	5.306733e+07	6.423922e+05	6.423922e+05
2.100000e-01	4.200000e-01	5.408381e+07	6.439361e+05	6.439361e+05
4.200000e-01	6.300000e-01	5.454690e+07	6.484032e+05	6.484032e+05
6.300000e-01	8.400000e-01	5.293357e+07	6.389355e+05	6.389355e+05
8.400000e-01	1.050000e+00	5.347214e+07	6.421117e+05	6.421117e+05
1.050000e+00	1.260000e+00	5.383176e+07	6.423174e+05	6.423174e+05
1.260000e+00	1.470000e+00	5.303043e+07	6.441062e+05	6.441062e+05
1.470000e+00	1.680000e+00	5.355348e+07	6.452240e+05	6.452240e+05
1.680000e+00	1.890000e+00	5.326057e+07	6.389708e+05	6.389708e+05
1.890000e+00	2.100000e+00	5.247652e+07	6.377695e+05	6.377695e+05
2.100000e+00	2.310000e+00	5.216519e+07	6.351201e+05	6.351201e+05
2.310000e+00	2.520000e+00	5.352590e+07	6.573478e+05	6.573478e+05
2.520000e+00	2.730000e+00	5.332476e+07	6.386147e+05	6.386147e+05
2.730000e+00	2.940000e+00	5.245205e+07	6.386213e+05	6.386213e+05
2.940000e+00	3.150000e+00	5.326929e+07	6.455099e+05	6.455099e+05
# END HISTO1D

