# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_H0_res_C1e
Path=/res/oxford_combined_rw2/histo_pt_H0_res_C1e
Title=pt_H0_res_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	1.725130e+05	3.037608e+03	3.037608e+03
3.000000e+01	6.000000e+01	5.957570e+05	5.644627e+03	5.644627e+03
6.000000e+01	9.000000e+01	6.501560e+05	6.122491e+03	6.122491e+03
9.000000e+01	1.200000e+02	5.067687e+05	5.193130e+03	5.193130e+03
1.200000e+02	1.500000e+02	2.865749e+05	3.908403e+03	3.908403e+03
1.500000e+02	1.800000e+02	1.490013e+05	2.825750e+03	2.825750e+03
1.800000e+02	2.100000e+02	8.175257e+04	2.079320e+03	2.079320e+03
2.100000e+02	2.400000e+02	4.449040e+04	1.631224e+03	1.631224e+03
2.400000e+02	2.700000e+02	2.745122e+04	1.207983e+03	1.207983e+03
2.700000e+02	3.000000e+02	1.588650e+04	9.175978e+02	9.175978e+02
3.000000e+02	3.300000e+02	9.443313e+03	7.082671e+02	7.082671e+02
3.300000e+02	3.600000e+02	6.343880e+03	5.791145e+02	5.791145e+02
3.600000e+02	3.900000e+02	4.123523e+03	4.668971e+02	4.668971e+02
3.900000e+02	4.200000e+02	3.086946e+03	4.153336e+02	4.153336e+02
4.200000e+02	4.500000e+02	1.533104e+03	2.846904e+02	2.846904e+02
4.500000e+02	4.800000e+02	1.004448e+03	2.304362e+02	2.304362e+02
4.800000e+02	5.100000e+02	9.515820e+02	2.242901e+02	2.242901e+02
5.100000e+02	5.400000e+02	3.700597e+02	1.398694e+02	1.398694e+02
5.400000e+02	5.700000e+02	1.057313e+02	7.476336e+01	7.476336e+01
5.700000e+02	6.000000e+02	1.057313e+02	7.476336e+01	7.476336e+01
6.000000e+02	6.300000e+02	5.286567e+01	5.286568e+01	5.286568e+01
6.300000e+02	6.600000e+02	5.286567e+01	5.286568e+01	5.286568e+01
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

