# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_HH_res_C2
Path=/res/oxford_combined_rw2/histo_pt_HH_res_C2
Title=pt_HH_res_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.904813e-01	1.085185e-01	1.085185e-01
1.000000e+01	2.000000e+01	2.533659e+00	8.872649e-01	8.872649e-01
2.000000e+01	3.000000e+01	4.475351e+00	1.640452e+00	1.640452e+00
3.000000e+01	4.000000e+01	2.544822e+00	1.155962e+00	1.155962e+00
4.000000e+01	5.000000e+01	2.862281e+00	1.169271e+00	1.169271e+00
5.000000e+01	6.000000e+01	2.139453e+00	8.561233e-01	8.561233e-01
6.000000e+01	7.000000e+01	2.620020e+00	1.313301e+00	1.313301e+00
7.000000e+01	8.000000e+01	1.486612e+00	8.327271e-01	8.327271e-01
8.000000e+01	9.000000e+01	4.194042e+00	1.747837e+00	1.747837e+00
9.000000e+01	1.000000e+02	1.598057e+00	8.478955e-01	8.478955e-01
1.000000e+02	1.100000e+02	2.559667e-01	1.080288e-01	1.080288e-01
1.100000e+02	1.200000e+02	1.021060e+00	8.189200e-01	8.189200e-01
1.200000e+02	1.300000e+02	1.092802e-01	3.154741e-02	3.154741e-02
1.300000e+02	1.400000e+02	2.052871e-01	1.060125e-01	1.060125e-01
1.400000e+02	1.500000e+02	9.910421e-01	8.187911e-01	8.187911e-01
1.500000e+02	1.600000e+02	4.524568e-02	2.168580e-02	2.168580e-02
1.600000e+02	1.700000e+02	4.633932e-03	1.856941e-03	1.856941e-03
1.700000e+02	1.800000e+02	3.470715e-02	1.767793e-02	1.767793e-02
1.800000e+02	1.900000e+02	3.582007e-02	1.920468e-02	1.920468e-02
1.900000e+02	2.000000e+02	8.108948e-01	8.078604e-01	8.078604e-01
2.000000e+02	2.100000e+02	5.153164e-02	2.269767e-02	2.269767e-02
2.100000e+02	2.200000e+02	2.959421e-03	1.802312e-03	1.802312e-03
2.200000e+02	2.300000e+02	5.693631e-04	2.762002e-04	2.762002e-04
2.300000e+02	2.400000e+02	1.344903e-03	1.269091e-03	1.269091e-03
2.400000e+02	2.500000e+02	1.062283e-02	1.015306e-02	1.015306e-02
2.500000e+02	2.600000e+02	1.616103e-03	1.586057e-03	1.586057e-03
2.600000e+02	2.700000e+02	1.620482e-04	1.288681e-04	1.288681e-04
2.700000e+02	2.800000e+02	1.554251e-04	1.279437e-04	1.279437e-04
2.800000e+02	2.900000e+02	1.042934e-02	1.015181e-02	1.015181e-02
2.900000e+02	3.000000e+02	3.964925e-05	2.270764e-05	2.270764e-05
# END HISTO1D

