# BEGIN HISTO1D /res/oxford_combined_rw2/histo_C2_fj_inter_C1d
Path=/res/oxford_combined_rw2/histo_C2_fj_inter_C1d
Title=C2_fj_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.666667e-02	5.181806e+05	1.909719e+03	1.909719e+03
1.666667e-02	3.333333e-02	2.370576e+05	1.291720e+03	1.291720e+03
3.333333e-02	5.000000e-02	1.405335e+05	9.945316e+02	9.945316e+02
5.000000e-02	6.666667e-02	1.004409e+05	8.407489e+02	8.407489e+02
6.666667e-02	8.333333e-02	7.645785e+04	7.335304e+02	7.335304e+02
8.333333e-02	1.000000e-01	6.285707e+04	6.651150e+02	6.651150e+02
1.000000e-01	1.166667e-01	5.269182e+04	6.089361e+02	6.089361e+02
1.166667e-01	1.333333e-01	4.692255e+04	5.746365e+02	5.746365e+02
1.333333e-01	1.500000e-01	4.242380e+04	5.463829e+02	5.463829e+02
1.500000e-01	1.666667e-01	3.799727e+04	5.171455e+02	5.171455e+02
1.666667e-01	1.833333e-01	3.518926e+04	4.976143e+02	4.976143e+02
1.833333e-01	2.000000e-01	3.266659e+04	4.794774e+02	4.794774e+02
2.000000e-01	2.166667e-01	2.950654e+04	4.556894e+02	4.556894e+02
2.166667e-01	2.333333e-01	2.835617e+04	4.466832e+02	4.466832e+02
2.333333e-01	2.500000e-01	2.573835e+04	4.255660e+02	4.255660e+02
2.500000e-01	2.666667e-01	2.311633e+04	4.033316e+02	4.033316e+02
2.666667e-01	2.833333e-01	2.086645e+04	3.831463e+02	3.831463e+02
2.833333e-01	3.000000e-01	1.854023e+04	3.611857e+02	3.611857e+02
3.000000e-01	3.166667e-01	1.649217e+04	3.406468e+02	3.406468e+02
3.166667e-01	3.333333e-01	1.422267e+04	3.163833e+02	3.163833e+02
3.333333e-01	3.500000e-01	1.139741e+04	2.831730e+02	2.831730e+02
3.500000e-01	3.666667e-01	9.322475e+03	2.561117e+02	2.561117e+02
3.666667e-01	3.833333e-01	7.515036e+03	2.299586e+02	2.299586e+02
3.833333e-01	4.000000e-01	6.072696e+03	2.067191e+02	2.067191e+02
4.000000e-01	4.166667e-01	4.670962e+03	1.812685e+02	1.812685e+02
4.166667e-01	4.333333e-01	3.335326e+03	1.531992e+02	1.531992e+02
4.333333e-01	4.500000e-01	2.554869e+03	1.340980e+02	1.340980e+02
4.500000e-01	4.666667e-01	1.941539e+03	1.168669e+02	1.168669e+02
4.666667e-01	4.833333e-01	1.562380e+03	1.048618e+02	1.048618e+02
4.833333e-01	5.000000e-01	1.034081e+03	8.528953e+01	8.528953e+01
5.000000e-01	5.166667e-01	7.034560e+02	7.034563e+01	7.034563e+01
5.166667e-01	5.333333e-01	6.260797e+02	6.636433e+01	6.636433e+01
5.333333e-01	5.500000e-01	3.869009e+02	5.216971e+01	5.216971e+01
5.500000e-01	5.666667e-01	3.095207e+02	4.666201e+01	4.666201e+01
5.666667e-01	5.833333e-01	2.321419e+02	4.041073e+01	4.041073e+01
5.833333e-01	6.000000e-01	1.406912e+02	3.145952e+01	3.145952e+01
6.000000e-01	6.166667e-01	8.441473e+01	2.436844e+01	2.436844e+01
6.166667e-01	6.333333e-01	1.055191e+02	2.724491e+01	2.724491e+01
6.333333e-01	6.500000e-01	2.813824e+01	1.406913e+01	1.406913e+01
6.500000e-01	6.666667e-01	2.813824e+01	1.406913e+01	1.406913e+01
6.666667e-01	6.833333e-01	7.034602e+00	7.034605e+00	7.034605e+00
6.833333e-01	7.000000e-01	1.406912e+01	9.948375e+00	9.948375e+00
7.000000e-01	7.166667e-01	7.034560e+00	7.034563e+00	7.034563e+00
7.166667e-01	7.333333e-01	7.034602e+00	7.034605e+00	7.034605e+00
7.333333e-01	7.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-01	7.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.666667e-01	7.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.833333e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	8.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.166667e-01	8.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.333333e-01	8.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.500000e-01	8.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.666667e-01	8.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.833333e-01	9.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.166667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.166667e-01	9.333333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.333333e-01	9.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e-01	9.666667e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.666667e-01	9.833333e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.833333e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

