# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_H0_inter_C2
Path=/res/oxford_combined_rw2/histo_m_H0_inter_C2
Title=m_H0_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	3.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+01	3.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+01	4.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+01	4.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+01	5.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	6.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+01	7.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+01	7.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+01	8.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+01	9.000000e+01	2.202283e+00	1.365167e+00	1.365167e+00
9.000000e+01	9.600000e+01	3.258258e+00	1.382058e+00	1.382058e+00
9.600000e+01	1.020000e+02	1.963050e+00	3.336846e-01	3.336846e-01
1.020000e+02	1.080000e+02	1.770688e+01	1.097405e+01	1.097405e+01
1.080000e+02	1.140000e+02	8.174037e-01	1.618586e-01	1.618586e-01
1.140000e+02	1.200000e+02	2.774572e+00	1.384900e+00	1.384900e+00
1.200000e+02	1.260000e+02	9.048863e-01	2.264907e-01	2.264907e-01
1.260000e+02	1.320000e+02	6.070582e-01	1.926034e-01	1.926034e-01
1.320000e+02	1.380000e+02	4.799993e-01	1.255064e-01	1.255064e-01
1.380000e+02	1.440000e+02	3.173837e-01	1.267081e-01	1.267081e-01
1.440000e+02	1.500000e+02	3.724137e-01	1.300096e-01	1.300096e-01
1.500000e+02	1.560000e+02	2.070922e-01	8.167889e-02	8.167889e-02
1.560000e+02	1.620000e+02	1.613418e+00	1.356523e+00	1.356523e+00
1.620000e+02	1.680000e+02	1.374195e-01	7.044450e-02	7.044450e-02
1.680000e+02	1.740000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

