# BEGIN HISTO1D /res/oxford_combined_rw2/histo_m_H0_res_C1d
Path=/res/oxford_combined_rw2/histo_m_H0_res_C1d
Title=m_H0_res_C1d
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.400000e+01	1.488776e+04	1.911734e+03	1.911734e+03
2.400000e+01	3.000000e+01	1.410907e+05	5.948212e+03	5.948212e+03
3.000000e+01	3.600000e+01	3.901845e+05	9.831840e+03	9.831840e+03
3.600000e+01	4.200000e+01	6.448663e+05	1.274810e+04	1.274810e+04
4.200000e+01	4.800000e+01	8.547620e+05	1.467293e+04	1.467293e+04
4.800000e+01	5.400000e+01	9.638010e+05	1.550092e+04	1.550092e+04
5.400000e+01	6.000000e+01	1.009542e+06	1.682752e+04	1.682752e+04
6.000000e+01	6.600000e+01	1.061821e+06	1.631028e+04	1.631028e+04
6.600000e+01	7.200000e+01	1.116181e+06	1.672588e+04	1.672588e+04
7.200000e+01	7.800000e+01	1.188357e+06	1.804661e+04	1.804661e+04
7.800000e+01	8.400000e+01	1.232861e+06	1.752568e+04	1.752568e+04
8.400000e+01	9.000000e+01	1.334976e+06	1.830041e+04	1.830041e+04
9.000000e+01	9.600000e+01	1.426432e+06	1.902570e+04	1.902570e+04
9.600000e+01	1.020000e+02	1.549578e+06	1.974724e+04	1.974724e+04
1.020000e+02	1.080000e+02	1.608384e+06	2.060355e+04	2.060355e+04
1.080000e+02	1.140000e+02	1.710085e+06	2.063282e+04	2.063282e+04
1.140000e+02	1.200000e+02	1.805567e+06	2.176948e+04	2.176948e+04
1.200000e+02	1.260000e+02	1.818278e+06	2.133322e+04	2.133322e+04
1.260000e+02	1.320000e+02	1.902958e+06	2.240357e+04	2.240357e+04
1.320000e+02	1.380000e+02	1.851567e+06	2.151705e+04	2.151705e+04
1.380000e+02	1.440000e+02	1.814987e+06	2.147259e+04	2.147259e+04
1.440000e+02	1.500000e+02	1.799575e+06	2.129860e+04	2.129860e+04
1.500000e+02	1.560000e+02	1.723915e+06	2.075173e+04	2.075173e+04
1.560000e+02	1.620000e+02	1.660581e+06	2.040794e+04	2.040794e+04
1.620000e+02	1.680000e+02	1.624499e+06	2.010926e+04	2.010926e+04
1.680000e+02	1.740000e+02	1.574902e+06	1.978627e+04	1.978627e+04
1.740000e+02	1.800000e+02	1.482204e+06	1.987024e+04	1.987024e+04
# END HISTO1D

