# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_HH_boost_C2
Path=/res/oxford_combined_rw2/histo_pt_HH_boost_C2
Title=pt_HH_boost_C2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.986911e-01	7.980147e-02	7.980147e-02
1.000000e+01	2.000000e+01	5.423318e-01	1.189550e-01	1.189550e-01
2.000000e+01	3.000000e+01	9.266614e-01	1.723113e-01	1.723113e-01
3.000000e+01	4.000000e+01	6.044528e-01	1.294097e-01	1.294097e-01
4.000000e+01	5.000000e+01	5.204577e+00	4.654929e+00	4.654929e+00
5.000000e+01	6.000000e+01	1.246337e+00	8.209941e-01	8.209941e-01
6.000000e+01	7.000000e+01	1.364852e+00	6.061558e-01	6.061558e-01
7.000000e+01	8.000000e+01	3.709909e-01	1.101932e-01	1.101932e-01
8.000000e+01	9.000000e+01	4.551096e-01	1.378015e-01	1.378015e-01
9.000000e+01	1.000000e+02	1.401364e-01	5.048586e-02	5.048586e-02
1.000000e+02	1.100000e+02	3.253732e-01	1.435572e-01	1.435572e-01
1.100000e+02	1.200000e+02	7.777392e-01	5.885516e-01	5.885516e-01
1.200000e+02	1.300000e+02	1.539762e-01	7.201492e-02	7.201492e-02
1.300000e+02	1.400000e+02	1.301099e-01	5.038866e-02	5.038866e-02
1.400000e+02	1.500000e+02	6.649621e-02	3.531136e-02	3.531136e-02
1.500000e+02	1.600000e+02	1.678713e-01	9.628172e-02	9.628172e-02
1.600000e+02	1.700000e+02	1.149595e-01	7.737189e-02	7.737189e-02
1.700000e+02	1.800000e+02	2.955753e-02	2.440761e-02	2.440761e-02
1.800000e+02	1.900000e+02	1.257378e-01	6.840236e-02	6.840236e-02
1.900000e+02	2.000000e+02	4.717901e+00	4.653390e+00	4.653390e+00
2.000000e+02	2.100000e+02	5.554056e-03	1.984509e-03	1.984509e-03
2.100000e+02	2.200000e+02	8.806256e-02	6.308749e-02	6.308749e-02
2.200000e+02	2.300000e+02	1.237613e-02	7.454536e-03	7.454536e-03
2.300000e+02	2.400000e+02	6.016088e-02	3.525009e-02	3.525009e-02
2.400000e+02	2.500000e+02	1.844776e-03	8.257394e-04	8.257394e-04
2.500000e+02	2.600000e+02	2.580135e-02	2.438171e-02	2.438171e-02
2.600000e+02	2.700000e+02	1.607013e-03	8.169105e-04	8.169105e-04
2.700000e+02	2.800000e+02	1.050577e-02	7.432182e-03	7.432182e-03
2.800000e+02	2.900000e+02	1.300999e-03	7.947073e-04	7.947073e-04
2.900000e+02	3.000000e+02	1.181347e-03	7.910399e-04	7.910399e-04
# END HISTO1D

