# BEGIN HISTO1D /res/oxford_combined_rw2/histo_dPhi_HH_inter_C2
Path=/res/oxford_combined_rw2/histo_dPhi_HH_inter_C2
Title=dPhi_HH_inter_C2
# xlow	 xhigh	 val	 errminus	 errplus
-3.200000e+00	-2.986667e+00	2.832017e-01	4.589391e-03	4.589391e-03
-2.986667e+00	-2.773333e+00	1.394076e-01	3.209956e-03	3.209956e-03
-2.773333e+00	-2.560000e+00	4.562522e-02	1.836193e-03	1.836193e-03
-2.560000e+00	-2.346667e+00	1.905322e-02	1.185703e-03	1.185703e-03
-2.346667e+00	-2.133333e+00	8.638454e-03	8.002062e-04	8.002062e-04
-2.133333e+00	-1.920000e+00	4.118199e-03	5.531028e-04	5.531028e-04
-1.920000e+00	-1.706667e+00	2.582900e-03	4.387578e-04	4.387578e-04
-1.706667e+00	-1.493333e+00	1.589512e-03	3.448127e-04	3.448127e-04
-1.493333e+00	-1.280000e+00	1.134306e-03	2.914195e-04	2.914195e-04
-1.280000e+00	-1.066667e+00	2.323210e-04	1.303465e-04	1.303465e-04
-1.066667e+00	-8.533333e-01	2.285581e-04	1.303325e-04	1.303325e-04
-8.533333e-01	-6.400000e-01	2.833469e-06	1.629074e-06	1.629074e-06
-6.400000e-01	-4.266667e-01	1.928070e-06	1.330306e-06	1.330306e-06
-4.266667e-01	-2.133333e-01	7.712276e-05	7.525346e-05	7.525346e-05
-2.133333e-01	3.885781e-16	7.713456e-05	7.525350e-05	7.525350e-05
3.885781e-16	2.133333e-01	7.526528e-05	7.524175e-05	7.524175e-05
2.133333e-01	4.266667e-01	9.405213e-07	9.405213e-07	9.405213e-07
4.266667e-01	6.400000e-01	2.276063e-04	1.303293e-04	1.303293e-04
6.400000e-01	8.533333e-01	1.514358e-04	1.064121e-04	1.064121e-04
8.533333e-01	1.066667e+00	1.523643e-04	1.064160e-04	1.064160e-04
1.066667e+00	1.280000e+00	3.978413e-04	1.687787e-04	1.687787e-04
1.280000e+00	1.493333e+00	3.997223e-04	1.687839e-04	1.687839e-04
1.493333e+00	1.706667e+00	1.144659e-03	2.915714e-04	2.915714e-04
1.706667e+00	1.920000e+00	1.846329e-03	3.688757e-04	3.688757e-04
1.920000e+00	2.133333e+00	3.578081e-03	5.158699e-04	5.158699e-04
2.133333e+00	2.346667e+00	6.339697e-03	6.820415e-04	6.820415e-04
2.346667e+00	2.560000e+00	1.694154e-02	1.119073e-03	1.119073e-03
2.560000e+00	2.773333e+00	4.335991e-02	1.788049e-03	1.788049e-03
2.773333e+00	2.986667e+00	1.426529e-01	3.249205e-03	3.249205e-03
2.986667e+00	3.200000e+00	2.782742e-01	4.548566e-03	4.548566e-03
# END HISTO1D

