# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_H0_inter_C1d
Path=/res/oxford_combined_rw2/histo_eta_H0_inter_C1d
Title=eta_H0_inter_C1d
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	8.180578e-02	2.831006e-03	2.831006e-03
-2.400000e+00	-2.000000e+00	5.418775e-01	7.286171e-03	7.286171e-03
-2.000000e+00	-1.600000e+00	8.053215e-01	8.882465e-03	8.882465e-03
-1.600000e+00	-1.200000e+00	1.142538e+00	1.057996e-02	1.057996e-02
-1.200000e+00	-8.000000e-01	1.513064e+00	1.217524e-02	1.217524e-02
-8.000000e-01	-4.000000e-01	1.791302e+00	1.324748e-02	1.324748e-02
-4.000000e-01	7.771561e-16	1.929343e+00	1.374844e-02	1.374844e-02
7.771561e-16	4.000000e-01	1.931107e+00	1.375472e-02	1.375472e-02
4.000000e-01	8.000000e-01	1.812758e+00	1.332658e-02	1.332658e-02
8.000000e-01	1.200000e+00	1.503561e+00	1.213694e-02	1.213694e-02
1.200000e+00	1.600000e+00	1.145477e+00	1.059356e-02	1.059356e-02
1.600000e+00	2.000000e+00	8.058115e-01	8.885167e-03	8.885167e-03
2.000000e+00	2.400000e+00	5.412898e-01	7.282218e-03	7.282218e-03
2.400000e+00	2.800000e+00	8.298143e-02	2.851276e-03	2.851276e-03
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

