# BEGIN HISTO1D /res/oxford_combined_rw2/histo_eta_leadSJ_fj1_boost_C1e
Path=/res/oxford_combined_rw2/histo_eta_leadSJ_fj1_boost_C1e
Title=eta_leadSJ_fj1_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.000000e+00	1.410783e-02	1.175652e-03	1.175652e-03
-2.000000e+00	-1.600000e+00	1.347101e-01	3.632862e-03	3.632862e-03
-1.600000e+00	-1.200000e+00	3.076290e-01	5.489874e-03	5.489874e-03
-1.200000e+00	-8.000000e-01	4.849565e-01	6.892871e-03	6.892871e-03
-8.000000e-01	-4.000000e-01	6.475882e-01	7.965229e-03	7.965229e-03
-4.000000e-01	7.771561e-16	7.519275e-01	8.582952e-03	8.582952e-03
7.771561e-16	4.000000e-01	7.285123e-01	8.448258e-03	8.448258e-03
4.000000e-01	8.000000e-01	6.461187e-01	7.956185e-03	7.956185e-03
8.000000e-01	1.200000e+00	4.906388e-01	6.933136e-03	6.933136e-03
1.200000e+00	1.600000e+00	3.095882e-01	5.507330e-03	5.507330e-03
1.600000e+00	2.000000e+00	1.315751e-01	3.590339e-03	3.590339e-03
2.000000e+00	2.400000e+00	1.587130e-02	1.246967e-03	1.246967e-03
2.400000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

