# BEGIN HISTO1D /res/oxford_combined_rw2/histo_pt_subleadSJ_fj2_boost_C1e
Path=/res/oxford_combined_rw2/histo_pt_subleadSJ_fj2_boost_C1e
Title=pt_subleadSJ_fj2_boost_C1e
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.000000e+01	6.240100e-03	9.028464e-05	9.028464e-05
3.000000e+01	6.000000e+01	4.875037e-03	7.980077e-05	7.980077e-05
6.000000e+01	9.000000e+01	1.931857e-02	1.588567e-04	1.588567e-04
9.000000e+01	1.200000e+02	1.863016e-02	1.560007e-04	1.560007e-04
1.200000e+02	1.500000e+02	1.077028e-02	1.186128e-04	1.186128e-04
1.500000e+02	1.800000e+02	4.616393e-03	7.765502e-05	7.765502e-05
1.800000e+02	2.100000e+02	1.941132e-03	5.035536e-05	5.035536e-05
2.100000e+02	2.400000e+02	7.746240e-04	3.181000e-05	3.181000e-05
2.400000e+02	2.700000e+02	3.579207e-04	2.162278e-05	2.162278e-05
2.700000e+02	3.000000e+02	1.384657e-04	1.344897e-05	1.344897e-05
3.000000e+02	3.300000e+02	7.315167e-05	9.775304e-06	9.775304e-06
3.300000e+02	3.600000e+02	3.004444e-05	6.264699e-06	6.264699e-06
3.600000e+02	3.900000e+02	1.698164e-05	4.709860e-06	4.709860e-06
3.900000e+02	4.200000e+02	2.612560e-06	1.847359e-06	1.847359e-06
4.200000e+02	4.500000e+02	2.612560e-06	1.847359e-06	1.847359e-06
4.500000e+02	4.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+02	5.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.100000e+02	5.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+02	5.700000e+02	1.306280e-06	1.306280e-06	1.306280e-06
5.700000e+02	6.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+02	6.300000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.300000e+02	6.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+02	6.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.900000e+02	7.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+02	7.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e+02	7.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+02	8.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.100000e+02	8.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+02	8.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.700000e+02	9.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

